"","V1","V2","V3"
"1626",31,33,5
"1628",31,44,4
"1630",31,52,6
"1634",31,74,4
"1635",31,75,5
"1636",31,82,6
"1637",31,93,4
"1639",31,104,6
"1640",31,118,4
"1641",31,120,5
"1642",31,121,4
"1643",31,135,5
"1644",31,137,4
"1645",31,151,4
"1646",31,152,6
"1647",31,162,6
"1648",31,173,6
"1649",31,180,5
"1650",31,181,4
"1651",31,186,4
"1652",31,196,4
"1653",31,203,6
"1654",31,209,5
"1655",31,211,4
"1656",31,220,4
"1657",31,222,5
"1658",31,226,5
"1659",31,237,5
"1665",31,270,7
"1671",31,291,5
"1672",31,300,7
"1675",31,311,5
"1676",31,312,7
"1678",31,325,5
"1681",31,341,6
"1682",31,346,6
"1683",31,347,7
"1684",31,354,5
"1685",31,361,8
"1686",31,365,7
"1689",31,377,7
"1692",31,393,7
"1693",31,402,7
"1695",31,413,7
"1696",31,420,5
"1697",31,421,8
"1698",31,427,5
"1700",31,437,7
"1701",31,442,7
"1702",31,455,5
"1703",31,456,5
"1705",31,467,7
"1710",31,497,7
"1711",31,502,8
"1714",31,514,5
"1715",31,525,7
"1717",31,534,5
"1723",31,574,7
"1724",31,579,7
"1725",31,596,5
"1726",31,598,6
"1728",31,609,5
"1729",31,613,8
"1730",31,626,8
"1731",31,634,5
"1733",31,645,5
"1735",31,661,6
"1736",31,664,5
"1737",31,666,6
"1738",31,678,8
"1739",31,679,5
"1740",31,681,6
"1741",31,696,6
"1742",31,697,5
"1743",31,707,8
"1744",31,720,5
"1745",31,724,4
"1748",31,752,4
"1749",31,754,5
"1750",31,765,5
"1753",31,781,6
"1756",31,794,4
"1758",31,809,6
"1759",31,813,5
"1760",31,824,6
"1761",31,844,6
"1762",31,862,6
"1764",31,881,5
"1766",31,911,4
"1770",31,985,6
"1772",31,1028,3
"1773",31,1030,6
"1774",31,1044,4
"1775",31,1062,5
"1777",31,1074,5
"1778",31,1077,6
"1779",31,1085,7
"1781",31,1104,6
"1782",31,1112,5
"1784",31,1127,5
"1787",31,1175,5
"1788",31,1180,6
"1789",31,1185,5
"1790",31,1203,7
"1792",31,1227,5
"1794",31,1268,3
"1795",31,1274,6
"1796",31,1368,8
"1799",31,1419,5
"1800",31,1437,6
"1801",31,1465,6
"1802",31,1486,6
"1803",31,1492,3
"1804",31,1498,6
"1805",31,1543,4
"1806",31,1555,4
"1810",31,1620,6
"1812",31,1694,6
"1813",31,1704,6
"1815",31,1730,6
"1816",31,1744,6
"1817",31,1759,4
"1818",31,1763,6
"1821",31,1797,6
"1822",31,1799,3
"1824",31,1828,6
"1826",31,1846,6
"1829",31,1875,6
"1830",31,1896,5
"1833",31,1923,5
"1834",31,1947,5
"1837",31,1966,5
"1839",31,1986,5
"1841",31,2006,5
"1845",31,2069,5
"1848",31,2107,7
"1849",31,2118,5
"1851",31,2141,7
"1852",31,2158,7
"1855",31,2192,6
"1856",31,2196,5
"1857",31,2211,8
"1858",31,2230,7
"1859",31,2242,5
"1862",31,2295,7
"1864",31,2327,5
"1865",31,2332,4
"1866",31,2340,7
"1868",31,2381,7
"1869",31,2389,7
"1870",31,2413,8
"1871",31,2418,7
"1872",31,2452,8
"1874",31,2488,5
"1875",31,2498,8
"1877",31,2512,6
"1878",31,2523,7
"1879",31,2535,7
"1880",31,2585,4
"1881",31,2607,4
"1882",31,2682,4
"1883",31,2701,7
"1884",31,2827,5
"1885",31,2835,7
"1888",31,2857,7
"1890",31,2877,7
"1891",31,2880,7
"1892",31,2897,7
"1893",31,2908,6
"1894",31,2915,6
"1895",31,2919,5
"1899",31,2954,7
"1900",31,2984,5
"1905",31,3029,7
"1911",31,3085,6
"1912",31,3134,6
"1914",31,3261,7
"1917",31,3341,7
"1920",31,3375,7
"1921",31,3380,7
"1922",31,3388,8
"1923",31,3415,7
"1925",31,3435,5
"1926",31,3443,7
"1927",31,3486,7
"1928",31,3488,8
"1929",31,3524,3
"1931",31,3570,7
"1933",31,3626,7
"1934",31,3746,5
"1935",31,3757,7
"1943",31,3941,5
"1944",31,3994,5
"1949",33,44,5
"1951",33,52,5
"1955",33,74,3
"1956",33,75,4
"1957",33,82,5
"1958",33,93,5
"1960",33,104,5
"1961",33,118,7
"1962",33,120,4
"1963",33,121,5
"1964",33,135,4
"1965",33,137,3
"1966",33,151,7
"1967",33,152,5
"1968",33,162,5
"1969",33,173,5
"1970",33,180,4
"1971",33,181,5
"1972",33,186,3
"1973",33,196,5
"1974",33,203,5
"1975",33,209,4
"1976",33,211,5
"1977",33,220,5
"1978",33,222,4
"1979",33,226,4
"1980",33,237,4
"1986",33,270,6
"1992",33,291,4
"1993",33,300,6
"1996",33,311,6
"1997",33,312,6
"1999",33,325,6
"2002",33,341,5
"2003",33,346,7
"2004",33,347,6
"2005",33,354,6
"2006",33,361,7
"2007",33,365,6
"2010",33,377,6
"2013",33,393,4
"2014",33,402,6
"2016",33,413,8
"2017",33,420,6
"2018",33,421,7
"2019",33,427,6
"2021",33,437,6
"2022",33,442,4
"2023",33,455,8
