"","X1","X14","X4"
"4812",75,173,7
"4816",75,196,7
"4840",75,312,8
"4853",75,377,6
"4860",75,420,10
"4865",75,442,8
"4890",75,598,9
"4905",75,696,9
"4917",75,781,7
"4930",75,911,7
"4938",75,1044,9
"4943",75,1085,8
"4951",75,1175,8
"4963",75,1419,4
"4986",75,1799,8
"4994",75,1896,8
"5003",75,1986,8
"5013",75,2118,6
"5020",75,2196,10
"5026",75,2295,8
"5032",75,2381,4
"5036",75,2452,11
"5046",75,2682,7
"5052",75,2857,8
"5078",75,3261,8
"5086",75,3388,13
"5091",75,3486,10
"5097",75,3626,8
"5108",75,3994,10
"8781",173,196,4
"8805",173,312,7
"8818",173,377,9
"8825",173,420,5
"8830",173,442,9
"8855",173,598,10
"8870",173,696,6
"8882",173,781,4
"8895",173,911,6
"8903",173,1044,8
"8908",173,1085,5
"8916",173,1175,7
"8928",173,1419,7
"8951",173,1799,9
"8959",173,1896,9
"8968",173,1986,11
"8978",173,2118,11
"8985",173,2196,7
"8991",173,2295,7
"8997",173,2381,7
"9001",173,2452,6
"9011",173,2682,10
"9017",173,2857,9
"9043",173,3261,5
"9051",173,3388,8
"9056",173,3486,9
"9062",173,3626,11
"9073",173,3994,11
"9991",196,312,9
"10004",196,377,11
"10011",196,420,5
"10016",196,442,11
"10041",196,598,6
"10056",196,696,8
"10068",196,781,6
"10081",196,911,8
"10089",196,1044,6
"10094",196,1085,9
"10102",196,1175,7
"10114",196,1419,9
"10137",196,1799,9
"10145",196,1896,9
"10154",196,1986,7
"10164",196,2118,7
"10171",196,2196,5
"10177",196,2295,7
"10183",196,2381,7
"10187",196,2452,4
"10197",196,2682,10
"10203",196,2857,13
"10229",196,3261,9
"10237",196,3388,10
"10242",196,3486,9
"10248",196,3626,13
"10259",196,3994,11
"16784",312,377,4
"16791",312,420,4
"16796",312,442,4
"16821",312,598,9
"16836",312,696,5
"16848",312,781,7
"16861",312,911,11
"16869",312,1044,7
"16874",312,1085,4
"16882",312,1175,8
"16894",312,1419,8
"16917",312,1799,8
"16925",312,1896,4
"16934",312,1986,8
"16944",312,2118,10
"16951",312,2196,6
"16957",312,2295,8
"16963",312,2381,8
"16967",312,2452,7
"16977",312,2682,9
"16983",312,2857,6
"17009",312,3261,8
"17017",312,3388,5
"17022",312,3486,6
"17028",312,3626,8
"17039",312,3994,8
"20223",377,420,8
"20228",377,442,4
"20253",377,598,9
"20268",377,696,7
"20280",377,781,9
"20293",377,911,9
"20301",377,1044,9
"20306",377,1085,6
"20314",377,1175,10
"20326",377,1419,8
"20349",377,1799,10
"20357",377,1896,6
"20366",377,1986,10
"20376",377,2118,8
"20383",377,2196,10
"20389",377,2295,8
"20395",377,2381,6
"20399",377,2452,11
"20409",377,2682,7
"20415",377,2857,4
"20441",377,3261,8
"20449",377,3388,7
"20454",377,3486,10
"20460",377,3626,8
"20471",377,3994,10
"22006",420,442,6
"22031",420,598,9
"22046",420,696,7
"22058",420,781,7
"22071",420,911,9
"22079",420,1044,7
"22084",420,1085,6
"22092",420,1175,6
"22104",420,1419,8
"22127",420,1799,6
"22135",420,1896,6
"22144",420,1986,6
"22154",420,2118,8
"22161",420,2196,4
"22167",420,2295,6
"22173",420,2381,8
"22177",420,2452,5
"22187",420,2682,13
"22193",420,2857,8
"22219",420,3261,8
"22227",420,3388,7
"22232",420,3486,6
"22238",420,3626,10
"22249",420,3994,10
"23271",442,598,9
"23286",442,696,5
"23298",442,781,11
"23311",442,911,7
"23319",442,1044,9
"23324",442,1085,8
"23332",442,1175,8
"23344",442,1419,6
"23367",442,1799,10
"23375",442,1896,8
"23384",442,1986,8
"23394",442,2118,8
"23401",442,2196,8
"23407",442,2295,8
"23413",442,2381,10
"23417",442,2452,9
"23427",442,2682,7
"23433",442,2857,6
"23459",442,3261,8
"23467",442,3388,7
"23472",442,3486,6
"23478",442,3626,6
"23489",442,3994,6
"29111",598,696,8
"29123",598,781,8
"29136",598,911,8
"29144",598,1044,6
"29149",598,1085,9
"29157",598,1175,7
"29169",598,1419,13
"29192",598,1799,7
"29200",598,1896,9
"29209",598,1986,7
"29219",598,2118,5
"29226",598,2196,7
"29232",598,2295,7
"29238",598,2381,11
"29242",598,2452,8
"29252",598,2682,6
"29258",598,2857,11
"29284",598,3261,13
"29292",598,3388,8
"29297",598,3486,9
"29303",598,3626,9
"29314",598,3994,9
"32318",696,781,8
"32331",696,911,8
"32339",696,1044,6
"32344",696,1085,7
"32352",696,1175,9
"32364",696,1419,9
"32387",696,1799,11
"32395",696,1896,7
"32404",696,1986,9
"32414",696,2118,11
"32421",696,2196,7
"32427",696,2295,9
"32433",696,2381,11
"32437",696,2452,8
"32447",696,2682,6
"32453",696,2857,7
"32479",696,3261,7
"32487",696,3388,8
"32492",696,3486,9
"32498",696,3626,7
"32509",696,3994,9
"34725",781,911,4
"34733",781,1044,8
"34738",781,1085,7
"34746",781,1175,9
"34758",781,1419,7
"34781",781,1799,5
"34789",781,1896,7
"34798",781,1986,9
"34808",781,2118,11
"34815",781,2196,9
"34821",781,2295,11
"34827",781,2381,5
"34831",781,2452,6
"34841",781,2682,10
"34847",781,2857,7
"34873",781,3261,9
"34881",781,3388,8
"34886",781,3486,9
"34892",781,3626,11
"34903",781,3994,9
"37164",911,1044,10
"37169",911,1085,11
"37177",911,1175,9
"37189",911,1419,5
"37212",911,1799,7
"37220",911,1896,11
"37229",911,1986,9
"37239",911,2118,9
"37246",911,2196,11
"37252",911,2295,11
"37258",911,2381,7
"37262",911,2452,8
"37272",911,2682,8
"37278",911,2857,7
"37304",911,3261,9
"37312",911,3388,10
"37317",911,3486,9
"37323",911,3626,9
"37334",911,3994,7
"38581",1044,1085,5
"38589",1044,1175,5
"38601",1044,1419,9
"38624",1044,1799,7
"38632",1044,1896,9
"38641",1044,1986,9
"38651",1044,2118,7
"38658",1044,2196,5
"38664",1044,2295,9
"38670",1044,2381,9
"38674",1044,2452,6
"38684",1044,2682,10
"38690",1044,2857,11
"38716",1044,3261,7
"38724",1044,3388,6
"38729",1044,3486,7
"38735",1044,3626,9
"38746",1044,3994,11
"39439",1085,1175,4
"39451",1085,1419,8
"39474",1085,1799,6
"39482",1085,1896,6
"39491",1085,1986,10
"39501",1085,2118,10
"39508",1085,2196,6
"39514",1085,2295,6
"39520",1085,2381,8
"39524",1085,2452,9
"39534",1085,2682,11
"39540",1085,2857,8
"39566",1085,3261,4
"39574",1085,3388,5
"39579",1085,3486,6
"39585",1085,3626,8
"39596",1085,3994,10
"40759",1175,1419,6
"40782",1175,1799,4
"40790",1175,1896,10
"40799",1175,1986,6
"40809",1175,2118,8
"40816",1175,2196,4
"40822",1175,2295,4
"40828",1175,2381,10
"40832",1175,2452,7
"40842",1175,2682,13
"40848",1175,2857,12
"40874",1175,3261,6
"40882",1175,3388,9
"40887",1175,3486,4
"40893",1175,3626,10
"40904",1175,3994,8
"42624",1419,1799,6
"42632",1419,1896,8
"42641",1419,1986,6
"42651",1419,2118,10
"42658",1419,2196,10
"42664",1419,2295,10
"42670",1419,2381,6
"42674",1419,2452,9
"42684",1419,2682,11
"42690",1419,2857,8
"42716",1419,3261,6
"42724",1419,3388,11
"42729",1419,3486,6
"42735",1419,3626,8
"42746",1419,3994,6
"45760",1799,1896,6
"45769",1799,1986,4
"45779",1799,2118,8
"45786",1799,2196,8
"45792",1799,2295,8
"45798",1799,2381,8
"45802",1799,2452,9
"45812",1799,2682,13
"45818",1799,2857,8
"45844",1799,3261,10
"45852",1799,3388,9
"45857",1799,3486,6
"45863",1799,3626,8
"45874",1799,3994,8
"46733",1896,1986,4
"46743",1896,2118,10
"46750",1896,2196,10
"46756",1896,2295,10
"46762",1896,2381,8
"46766",1896,2452,11
"46776",1896,2682,9
"46782",1896,2857,6
"46808",1896,3261,10
"46816",1896,3388,7
"46821",1896,3486,8
"46827",1896,3626,6
"46838",1896,3994,8
"47751",1986,2118,8
"47758",1986,2196,8
"47764",1986,2295,8
"47770",1986,2381,10
"47774",1986,2452,9
"47784",1986,2682,11
"47790",1986,2857,10
"47816",1986,3261,12
"47824",1986,3388,11
"47829",1986,3486,6
"47835",1986,3626,8
"47846",1986,3994,6
"48783",2118,2196,6
"48789",2118,2295,6
"48795",2118,2381,6
"48799",2118,2452,9
"48809",2118,2682,7
"48815",2118,2857,8
"48841",2118,3261,10
"48849",2118,3388,9
"48854",2118,3486,8
"48860",2118,3626,6
"48871",2118,3994,10
"49447",2196,2295,4
"49453",2196,2381,8
"49457",2196,2452,3
"49467",2196,2682,11
"49473",2196,2857,10
"49499",2196,3261,6
"49507",2196,3388,7
"49512",2196,3486,4
"49518",2196,3626,10
"49529",2196,3994,8
"49978",2295,2381,8
"49982",2295,2452,7
"49992",2295,2682,9
"49998",2295,2857,10
"50024",2295,3261,6
"50032",2295,3388,9
"50037",2295,3486,6
"50043",2295,3626,10
"50054",2295,3994,10
"50471",2381,2452,7
"50481",2381,2682,9
"50487",2381,2857,6
"50513",2381,3261,6
"50521",2381,3388,9
"50526",2381,3486,8
"50532",2381,3626,10
"50543",2381,3994,10
"50787",2452,2682,10
"50793",2452,2857,11
"50819",2452,3261,7
"50827",2452,3388,6
"50832",2452,3486,5
"50838",2452,3626,13
"50849",2452,3994,7
"51488",2682,2857,7
"51514",2682,3261,9
"51522",2682,3388,8
"51527",2682,3486,11
"51533",2682,3626,5
"51544",2682,3994,7
"51883",2857,3261,8
"51891",2857,3388,7
"51896",2857,3486,10
