"","X1","X14","X4"
"1628",31,46,5
"1632",31,69,4
"1648",31,180,7
"1656",31,222,5
"1664",31,270,7
"1674",31,311,7
"1678",31,330,7
"1682",31,347,7
"1691",31,393,7
"1717",31,542,4
"1725",31,598,6
"1733",31,651,6
"1741",31,697,7
"1754",31,792,7
"1758",31,813,7
"1762",31,875,8
"1774",31,1062,7
"1778",31,1085,7
"1791",31,1227,9
"1795",31,1368,8
"1803",31,1498,6
"1807",31,1585,8
"1815",31,1744,8
"1833",31,1947,9
"1838",31,1986,13
"1843",31,2056,9
"1851",31,2158,9
"1860",31,2281,9
"1864",31,2332,4
"1872",31,2460,7
"1880",31,2607,4
"1884",31,2835,7
"1892",31,2908,8
"1897",31,2945,10
"1919",31,3375,7
"1927",31,3488,12
"1931",31,3581,11
"1935",31,3783,11
"1941",31,3926,9
"2910",46,69,7
"2926",46,180,4
"2934",46,222,4
"2942",46,270,4
"2952",46,311,6
"2956",46,330,6
"2960",46,347,8
"2969",46,393,8
"2995",46,542,5
"3003",46,598,9
"3011",46,651,7
"3019",46,697,8
"3032",46,792,6
"3036",46,813,4
"3040",46,875,7
"3052",46,1062,4
"3056",46,1085,6
"3069",46,1227,8
"3073",46,1368,9
"3081",46,1498,9
"3085",46,1585,9
"3093",46,1744,11
"3111",46,1947,10
"3116",46,1986,10
"3121",46,2056,6
"3129",46,2158,4
"3138",46,2281,8
"3142",46,2332,7
"3150",46,2460,8
"3158",46,2607,5
"3162",46,2835,10
"3170",46,2908,11
"3175",46,2945,11
"3197",46,3375,6
"3205",46,3488,11
"3209",46,3581,10
"3213",46,3783,10
"3219",46,3926,10
"4188",69,180,7
"4196",69,222,7
"4204",69,270,9
"4214",69,311,9
"4218",69,330,7
"4222",69,347,9
"4231",69,393,7
"4257",69,542,8
"4265",69,598,6
"4273",69,651,8
"4281",69,697,9
"4294",69,792,9
"4298",69,813,7
"4302",69,875,8
"4314",69,1062,7
"4318",69,1085,9
"4331",69,1227,9
"4335",69,1368,8
"4343",69,1498,8
"4347",69,1585,8
"4355",69,1744,6
"4373",69,1947,13
"4378",69,1986,11
"4383",69,2056,9
"4391",69,2158,9
"4400",69,2281,7
"4404",69,2332,6
"4412",69,2460,9
"4420",69,2607,6
"4424",69,2835,9
"4432",69,2908,8
"4437",69,2945,8
"4459",69,3375,9
"4467",69,3488,10
"4471",69,3581,11
"4475",69,3783,9
"4481",69,3926,9
"9084",180,222,4
"9092",180,270,8
"9102",180,311,6
"9106",180,330,10
"9110",180,347,10
"9119",180,393,8
"9145",180,542,7
"9153",180,598,9
"9161",180,651,9
"9169",180,697,6
"9182",180,792,6
"9186",180,813,6
"9190",180,875,11
"9202",180,1062,6
"9206",180,1085,6
"9219",180,1227,10
"9223",180,1368,9
"9231",180,1498,9
"9235",180,1585,7
"9243",180,1744,7
"9261",180,1947,10
"9266",180,1986,10
"9271",180,2056,8
"9279",180,2158,8
"9288",180,2281,8
"9292",180,2332,7
"9300",180,2460,6
"9308",180,2607,9
"9312",180,2835,10
"9320",180,2908,11
"9325",180,2945,9
"9347",180,3375,10
"9355",180,3488,9
"9359",180,3581,8
"9363",180,3783,10
"9369",180,3926,10
"11440",222,270,6
"11450",222,311,8
"11454",222,330,6
"11458",222,347,6
"11467",222,393,8
"11493",222,542,5
"11501",222,598,7
"11509",222,651,7
"11517",222,697,8
"11530",222,792,6
"11534",222,813,8
"11538",222,875,9
"11550",222,1062,8
"11554",222,1085,8
"11567",222,1227,6
"11571",222,1368,7
"11579",222,1498,5
"11583",222,1585,11
"11591",222,1744,7
"11609",222,1947,8
"11614",222,1986,8
"11619",222,2056,8
"11627",222,2158,6
"11636",222,2281,8
"11640",222,2332,7
"11648",222,2460,6
"11656",222,2607,9
"11660",222,2835,10
"11668",222,2908,9
"11673",222,2945,11
"11695",222,3375,10
"11703",222,3488,13
"11707",222,3581,8
"11711",222,3783,8
"11717",222,3926,8
"13734",270,311,4
"13738",270,330,4
"13742",270,347,4
"13751",270,393,6
"13777",270,542,5
"13785",270,598,7
"13793",270,651,7
"13801",270,697,10
"13814",270,792,6
"13818",270,813,6
"13822",270,875,7
"13834",270,1062,6
"13838",270,1085,6
"13851",270,1227,6
"13855",270,1368,7
"13863",270,1498,9
"13867",270,1585,11
"13875",270,1744,13
"13893",270,1947,6
"13898",270,1986,6
"13903",270,2056,4
"13911",270,2158,4
"13920",270,2281,10
"13924",270,2332,7
"13932",270,2460,6
"13940",270,2607,9
"13944",270,2835,8
