G1,G2,G3,G4
68,31,52,59
118,46,74,75
137,69,103,104
173,180,209,135
289,222,226,211
304,270,274,237
325,311,312,324
365,330,331,341
392,347,354,361
420,393,427,377
437,542,455,413
512,598,476,436
559,651,502,456
596,697,544,510
613,792,574,579
666,813,601,609
696,875,634,637
765,1062,661,664
862,1085,707,681
1112,1227,770,720
1150,1368,881,802
1203,1498,1028,844
1492,1585,1180,910
1730,1744,1243,1074
1966,1947,1465,1104
2091,1986,1543,1403
2327,2056,1704,1620
2452,2158,1759,1718
2511,2281,1797,1799
2932,2332,1846,1903
2992,2460,1896,2006
3067,2607,2118,2072
3261,2835,2340,2192
3360,2908,2413,2242
3415,2945,2488,2355
3486,3375,2523,2856
3570,3488,2915,2880
3757,3581,2954,3163
3908,3783,3134,3358
4015,3926,3832,3388
