"","X1","X14","X4"
"3228",52,74,8
"3232",52,103,4
"3248",52,209,7
"3252",52,226,7
"3261",52,274,6
"3270",52,312,5
"3274",52,331,10
"3278",52,354,7
"3292",52,427,9
"3296",52,455,9
"3300",52,476,9
"3305",52,502,6
"3313",52,544,7
"3318",52,579,11
"3326",52,637,6
"3347",52,781,6
"3355",52,844,8
"3359",52,910,9
"3363",52,951,7
"3375",52,1104,6
"3396",52,1486,8
"3400",52,1555,8
"3404",52,1620,4
"3408",52,1718,6
"3412",52,1763,10
"3427",52,1923,13
"3431",52,1966,9
"3437",52,2024,10
"3441",52,2091,8
"3445",52,2141,7
"3450",52,2196,5
"3454",52,2266,11
"3458",52,2327,7
"3462",52,2381,9
"3470",52,2511,11
"3478",52,2827,11
"3490",52,2932,6
"3503",52,3065,10
"3535",52,3908,9
"4490",74,103,6
"4506",74,209,7
"4510",74,226,5
"4519",74,274,6
"4528",74,312,9
"4532",74,331,4
"4536",74,354,7
"4550",74,427,9
"4554",74,455,9
"4558",74,476,7
"4563",74,502,8
"4571",74,544,7
"4576",74,579,5
"4584",74,637,8
"4605",74,781,8
"4613",74,844,4
"4617",74,910,7
"4621",74,951,11
"4633",74,1104,6
"4654",74,1486,6
"4658",74,1555,6
"4662",74,1620,8
"4666",74,1718,8
"4670",74,1763,6
"4685",74,1923,9
"4689",74,1966,11
"4695",74,2024,8
"4699",74,2091,6
"4703",74,2141,9
"4708",74,2196,11
"4712",74,2266,5
"4716",74,2327,9
"4720",74,2381,7
"4728",74,2511,7
"4736",74,2827,9
"4748",74,2932,10
"4761",74,3065,10
"4793",74,3908,9
"5748",103,209,7
"5752",103,226,5
"5761",103,274,8
"5770",103,312,9
"5774",103,331,6
"5778",103,354,5
"5792",103,427,7
"5796",103,455,5
"5800",103,476,11
"5805",103,502,6
"5813",103,544,9
"5818",103,579,7
"5826",103,637,6
"5847",103,781,6
"5855",103,844,8
"5859",103,910,9
"5863",103,951,7
"5875",103,1104,8
"5896",103,1486,6
"5900",103,1555,8
"5904",103,1620,6
"5908",103,1718,8
"5912",103,1763,6
"5927",103,1923,11
"5931",103,1966,9
"5937",103,2024,10
"5941",103,2091,6
"5945",103,2141,7
"5950",103,2196,9
"5954",103,2266,11
"5958",103,2327,7
"5962",103,2381,7
