"","X1","X14","X4"
"3869",68,137,7
"3873",68,173,7
"3895",68,289,7
"3899",68,304,9
"3903",68,325,4
"3911",68,365,6
"3916",68,392,7
"3921",68,420,6
"3925",68,437,8
"3938",68,512,7
"3946",68,559,8
"3950",68,596,4
"3954",68,613,7
"3962",68,666,11
"3966",68,696,9
"3975",68,765,8
"3987",68,862,7
"4007",68,1112,6
"4011",68,1150,7
"4015",68,1203,10
"4025",68,1437,9
"4033",68,1585,9
"4045",68,1787,11
"4050",68,1841,10
"4054",68,1875,11
"4064",68,1986,8
"4069",68,2056,6
"4073",68,2107,10
"4082",68,2211,11
"4094",68,2389,6
"4098",68,2460,8
"4110",68,2835,10
"4114",68,2866,10
"4123",68,2945,9
"4137",68,3134,9
"4142",68,3341,8
"4159",68,3746,10
"4164",68,3857,8
"4169",68,3994,12
"7575",137,173,4
"7597",137,289,6
"7601",137,304,8
"7605",137,325,7
"7613",137,365,9
"7618",137,392,4
"7623",137,420,9
"7627",137,437,7
"7640",137,512,6
"7648",137,559,7
"7652",137,596,11
"7656",137,613,8
"7664",137,666,6
"7668",137,696,6
"7677",137,765,9
"7689",137,862,10
"7709",137,1112,9
"7713",137,1150,10
"7717",137,1203,7
"7727",137,1437,6
"7735",137,1585,8
"7747",137,1787,8
"7752",137,1841,11
"7756",137,1875,10
"7766",137,1986,11
"7771",137,2056,7
"7775",137,2107,9
"7784",137,2211,6
"7796",137,2389,9
"7800",137,2460,7
"7812",137,2835,9
"7816",137,2866,13
"7825",137,2945,6
"7839",137,3134,10
"7844",137,3341,9
"7861",137,3746,11
"7866",137,3857,9
"7871",137,3994,9
"8799",173,289,6
"8803",173,304,8
"8807",173,325,9
"8815",173,365,5
"8820",173,392,6
"8825",173,420,5
"8829",173,437,7
"8842",173,512,8
"8850",173,559,7
"8854",173,596,9
"8858",173,613,6
"8866",173,666,8
"8870",173,696,6
"8879",173,765,5
"8891",173,862,8
"8911",173,1112,9
"8915",173,1150,8
"8919",173,1203,9
"8929",173,1437,4
"8937",173,1585,6
"8949",173,1787,6
"8954",173,1841,9
"8958",173,1875,12
"8968",173,1986,11
"8973",173,2056,7
"8977",173,2107,7
"8986",173,2211,6
"8998",173,2389,9
"9002",173,2460,7
"9014",173,2835,13
"9018",173,2866,11
"9027",173,2945,8
"9041",173,3134,6
"9046",173,3341,7
"9063",173,3746,9
"9068",173,3857,11
"9073",173,3994,11
"15128",289,304,4
"15132",289,325,5
"15140",289,365,5
"15145",289,392,4
"15150",289,420,5
"15154",289,437,5
"15167",289,512,6
"15175",289,559,7
"15179",289,596,9
"15183",289,613,6
"15191",289,666,10
"15195",289,696,6
"15204",289,765,9
"15216",289,862,10
"15236",289,1112,9
"15240",289,1150,8
"15244",289,1203,7
"15254",289,1437,8
"15262",289,1585,6
