"","G1","G2","G3","G4"
"1",68,31,52,59
"2",137,46,74,75
"3",173,69,103,104
"4",289,180,152,324
"5",304,222,209,341
"6",325,270,226,361
"7",365,311,274,377
"8",392,330,312,413
"9",420,347,331,436
"10",437,393,354,456
"11",512,542,427,510
"12",559,598,455,579
"13",596,651,476,609
"14",613,697,502,637
"15",666,792,544,664
"16",696,813,574,681
"17",765,875,601,720
"18",862,1062,634,802
"19",1112,1085,661,844
"20",1150,1119,707,910
"21",1203,1175,770,1074
"22",1437,1227,881,1104
"23",1585,1378,1028,1274
"24",1787,1543,1180,1568
"25",1841,1606,1268,1730
"26",1875,1797,1403,1923
"27",1986,1993,1486,1966
"28",2056,2295,1555,2141
"29",2107,2340,1620,2266
"30",2211,2413,1718,2452
"31",2389,2682,1857,2511
"32",2460,2844,2006,2585
"33",2835,2915,2125,2827
"34",2866,3163,2355,2857
"35",2945,3358,2701,2992
"36",3134,3388,2856,3085
"37",3341,3554,2880,3271
"38",3746,3757,3067,3375
"39",3857,3908,3261,3626
"40",3994,4015,3486,3832
