"","Var1","Freq"
"5","1911",1802
"15","3047",1021
"22","3005",516
"48","3888",217
"55","1",191
"59","409",166
"83","2939",107
"85","1982",104
"86","2013",101
"88","391",99
"127","285",59
"145","272",48
"152","1819",47
"163","478",44
"168","3804",44
"174","750",42
"186","4044",40
"199","3052",36
"217","3007",33
"222","3310",32
"227","1207",30
"228","2176",30
"236","4061",29
"276","551",23
"295","1787",21
"296","3067",21
"317","3065",19
"340","1150",17
"343","1870",17
"348","3581",17
"351","302",16
"352","392",16
"374","2024",15
"376","3043",15
"382","14",14
"383","274",14
"415","3358",13
"419","3554",13
"428","254",12
"433","1585",12
"441","2125",12
"462","68",11
"463","69",11
"470","802",11
"477","1243",11
"514","493",10
"515","542",10
"517","637",10
"521","767",10
"523","789",10
"532","1903",10
"545","3271",10
"558","103",9
"559","241",9
"562","289",9
"566","512",9
"567","529",9
"584","1653",9
"592","2072",9
"598","2511",9
"602","2945",9
"603","2994",9
"621","495",8
"639","2056",8
"680","16",7
"690","436",7
"692","510",7
"699","1021",7
"714","1841",7
"716","1857",7
"721","1951",7
"751","3417",7
"765","3832",7
"769","3941",7
"776","35",6
"779","287",6
"781","324",6
"788","574",6
"792","792",6
"811","1718",6
"820","2160",6
"822","2266",6
"825","2310",6
"837","2954",6
"881","18",5
"882","46",5
"886","239",5
"890","304",5
"893","376",5
"895","476",5
"899","563",5
"904","651",5
"913","910",5
"922","1378",5
"929","1772",5
"951","2091",5
"955","2281",5
"957","2355",5
"969","2866",5
"973","2992",5
"979","3163",5
"1028","3926",5
"1042","29",4
"1048","162",4
"1051","222",4
"1054","257",4
"1058","331",4
"1066","544",4
"1072","601",4
"1076","735",4
"1093","923",4
"1104","1065",4
"1110","1137",4
"1137","1568",4
"1140","1606",4
"1165","1993",4
"1198","2856",4
"1204","2915",4
"1205","2932",4
"1222","3134",4
"1231","3360",4
"1244","3524",4
"1250","3570",4
"1272","3857",4
"1292","59",3
"1296","82",3
"1301","121",3
"1307","186",3
"1310","203",3
"1314","259",3
"1322","300",3
"1326","330",3
"1331","374",3
"1335","413",3
"1348","559",3
"1356","626",3
"1358","681",3
"1361","696",3
"1370","770",3
"1376","824",3
"1384","875",3
"1390","935",3
"1391","951",3
"1411","1085",3
"1412","1090",3
"1415","1119",3
"1425","1274",3
"1437","1403",3
"1445","1486",3
"1453","1543",3
"1466","1763",3
"1481","1947",3
"1482","1966",3
"1495","2141",3
"1523","2418",3
"1530","2488",3
"1537","2535",3
"1563","2857",3
"1570","2919",3
"1627","3486",3
"1633","3626",3
"1653","3783",3
"1663","3908",3
"1674","31",2
"1675","33",2
"1679","44",2
"1682","93",2
"1688","137",2
"1695","180",2
"1698","209",2
"1705","237",2
"1708","291",2
"1713","341",2
"1715","346",2
"1718","354",2
"1720","377",2
"1736","514",2
"1749","609",2
"1758","664",2
"1768","707",2
"1770","720",2
"1783","794",2
"1787","809",2
"1809","985",2
"1814","1030",2
"1821","1062",2
"1823","1077",2
"1829","1112",2
"1834","1127",2
"1856","1268",2
"1888","1437",2
"1894","1492",2
"1923","1694",2
"1925","1704",2
"1933","1759",2
"1940","1828",2
"1958","1955",2
"1967","2006",2
"1979","2118",2
"1983","2158",2
"1988","2192",2
"1994","2211",2
"2000","2230",2
"2007","2295",2
"2015","2327",2
"2027","2389",2
"2041","2452",2
"2042","2460",2
"2077","2701",2
"2097","2844",2
"2103","2877",2
"2154","3375",2
"2160","3415",2
"2167","3443",2
"2204","3746",2
"2229","4015",2
"2237","52",1
"2241","74",1
"2242","75",1
"2249","118",1
"2250","120",1
"2255","135",1
"2257","151",1
"2258","152",1
"2261","173",1
"2274","226",1
"2287","347",1
"2290","361",1
"2291","365",1
"2296","393",1
"2300","421",1
"2303","427",1
"2306","442",1
"2308","456",1
"2310","463",1
"2318","497",1
"2330","579",1
"2333","598",1
"2342","634",1
"2345","645",1
"2354","678",1
"2358","697",1
"2368","752",1
"2375","781",1
"2381","813",1
"2386","844",1
"2398","911",1
"2416","1028",1
"2428","1074",1
"2450","1203",1
"2454","1227",1
"2508","1465",1
"2517","1498",1
"2543","1620",1
"2569","1744",1
"2580","1846",1
"2586","1875",1
"2587","1896",1
"2603","1986",1
"2616","2069",1
"2619","2107",1
"2634","2196",1
"2653","2340",1
"2663","2381",1
"2670","2413",1
"2691","2498",1
"2696","2523",1
"2728","2682",1
"2757","2827",1
"2760","2835",1
"2768","2880",1
"2773","2908",1
"2822","3341",1
"2829","3388",1
"2837","3435",1
"2844","3488",1
"2877","3757",1
"2891","3994",1
