"","ID1","ID2","dis"
"3542",59,68,5
"3544",59,74,6
"3545",59,75,5
"3548",59,103,4
"3549",59,104,4
"3553",59,135,5
"3554",59,137,6
"3559",59,180,7
"3565",59,211,6
"3577",59,274,6
"3584",59,304,6
"3585",59,311,5
"3586",59,312,5
"3587",59,324,6
"3588",59,325,7
"3589",59,330,5
"3590",59,331,6
"3601",59,392,6
"3602",59,393,7
"3605",59,413,7
"3621",59,502,8
"3629",59,544,7
"3639",59,613,8
"3642",59,637,6
"3644",59,651,6
"3651",59,696,6
"3653",59,707,8
"3665",59,792,5
"3691",59,1104,6
"3692",59,1112,5
"3711",59,1465,6
"3715",59,1543,6
"3727",59,1759,6
"3736",59,1846,6
"3741",59,1903,8
"3754",59,2056,5
"3797",59,2856,8
"3808",59,2945,10
"3823",59,3163,4
"3859",68,74,5
"3860",68,75,4
"3863",68,103,5
"3864",68,104,3
"3868",68,135,4
"3869",68,137,5
"3874",68,180,4
"3880",68,211,5
"3892",68,274,7
"3899",68,304,7
"3900",68,311,4
"3901",68,312,6
"3902",68,324,3
"3903",68,325,4
"3904",68,330,6
"3905",68,331,7
"3916",68,392,7
"3917",68,393,6
"3920",68,413,6
"3936",68,502,7
"3944",68,544,4
"3954",68,613,7
"3957",68,637,7
"3959",68,651,9
"3966",68,696,7
"3968",68,707,7
"3980",68,792,6
"4006",68,1104,7
"4007",68,1112,6
"4026",68,1465,7
"4030",68,1543,5
"4042",68,1759,7
"4051",68,1846,5
"4056",68,1903,7
"4069",68,2056,6
"4112",68,2856,9
"4123",68,2945,9
"4138",68,3163,7
"4487",74,75,3
"4490",74,103,4
"4491",74,104,4
"4495",74,135,5
"4496",74,137,4
"4501",74,180,5
"4507",74,211,4
"4519",74,274,6
"4526",74,304,6
"4527",74,311,3
"4528",74,312,5
"4529",74,324,6
"4530",74,325,5
"4531",74,330,3
"4532",74,331,4
"4543",74,392,6
"4544",74,393,7
"4547",74,413,5
"4563",74,502,6
"4571",74,544,5
"4581",74,613,6
"4584",74,637,8
"4586",74,651,6
"4593",74,696,8
"4595",74,707,6
"4607",74,792,7
"4633",74,1104,6
"4634",74,1112,7
"4653",74,1465,8
"4657",74,1543,6
"4669",74,1759,6
"4678",74,1846,6
"4683",74,1903,8
"4696",74,2056,7
"4739",74,2856,8
"4750",74,2945,8
"4765",74,3163,6
"4802",75,103,5
"4803",75,104,5
"4807",75,135,4
"4808",75,137,5
"4813",75,180,4
"4819",75,211,5
"4831",75,274,7
"4838",75,304,7
"4839",75,311,4
"4840",75,312,6
"4841",75,324,7
"4842",75,325,6
"4843",75,330,4
"4844",75,331,3
"4855",75,392,7
"4856",75,393,6
"4859",75,413,6
"4875",75,502,7
"4883",75,544,6
"4893",75,613,5
"4896",75,637,5
"4898",75,651,5
"4905",75,696,7
"4907",75,707,5
"4919",75,792,6
"4945",75,1104,5
"4946",75,1112,6
"4965",75,1465,5
"4969",75,1543,5
"4981",75,1759,5
"4990",75,1846,7
"4995",75,1903,9
"5008",75,2056,6
"5051",75,2856,9
"5062",75,2945,9
"5077",75,3163,5
"5733",103,104,4
"5737",103,135,5
"5738",103,137,8
"5743",103,180,7
"5749",103,211,6
"5761",103,274,8
"5768",103,304,6
"5769",103,311,5
"5770",103,312,7
"5771",103,324,6
"5772",103,325,5
"5773",103,330,3
"5774",103,331,6
"5785",103,392,8
"5786",103,393,7
"5789",103,413,9
"5805",103,502,4
"5813",103,544,5
"5823",103,613,4
"5826",103,637,6
"5828",103,651,8
"5835",103,696,8
"5837",103,707,6
"5849",103,792,7
"5875",103,1104,8
"5876",103,1112,7
"5895",103,1465,10
"5899",103,1543,4
"5911",103,1759,8
"5920",103,1846,4
"5925",103,1903,6
"5938",103,2056,7
"5981",103,2856,8
"5992",103,2945,10
"6007",103,3163,6
"6045",104,135,7
"6046",104,137,6
"6051",104,180,5
"6057",104,211,8
