"","X1","X14","X4"
"7878",151,180,5
"7886",151,222,5
"7907",151,325,9
"7913",151,354,9
"7921",151,393,9
"7931",151,455,5
"7940",151,502,6
"7957",151,609,9
"7962",151,645,7
"7967",151,678,6
"7971",151,697,9
"7977",151,752,8
"7990",151,844,10
"7999",151,985,8
"8004",151,1062,9
"8010",151,1104,8
"8017",151,1180,6
"8023",151,1268,7
"8029",151,1437,4
"8033",151,1498,8
"8070",151,2006,9
"8086",151,2211,6
"8103",151,2488,9
"8108",151,2535,7
"8112",151,2701,7
"8119",151,2877,9
"8123",151,2915,10
"8146",151,3341,9
"8157",151,3488,10
"9084",180,222,4
"9105",180,325,8
"9111",180,354,8
"9119",180,393,8
"9129",180,455,8
"9138",180,502,7
"9155",180,609,8
"9160",180,645,6
"9165",180,678,7
"9169",180,697,6
"9175",180,752,7
"9188",180,844,9
"9197",180,985,9
"9202",180,1062,6
"9208",180,1104,9
"9215",180,1180,7
"9221",180,1268,4
"9227",180,1437,7
"9231",180,1498,9
"9268",180,2006,8
"9284",180,2211,9
"9301",180,2488,4
"9306",180,2535,6
"9310",180,2701,6
"9317",180,2877,8
"9321",180,2915,13
"9344",180,3341,10
"9355",180,3488,9
"11453",222,325,8
"11459",222,354,8
"11467",222,393,8
"11477",222,455,6
"11486",222,502,7
"11503",222,609,10
"11508",222,645,8
"11513",222,678,9
"11517",222,697,8
"11523",222,752,9
"11536",222,844,7
"11545",222,985,7
"11550",222,1062,8
"11556",222,1104,9
"11563",222,1180,7
"11569",222,1268,6
"11575",222,1437,7
"11579",222,1498,5
"11616",222,2006,6
"11632",222,2211,11
"11649",222,2488,6
"11654",222,2535,6
"11658",222,2701,6
"11665",222,2877,10
"11669",222,2915,13
"11692",222,3341,10
"11703",222,3488,13
"17318",325,354,6
"17326",325,393,4
"17336",325,455,4
"17345",325,502,7
"17362",325,609,6
"17367",325,645,4
"17372",325,678,9
"17376",325,697,8
"17382",325,752,9
"17395",325,844,5
"17404",325,985,7
"17409",325,1062,6
"17415",325,1104,7
"17422",325,1180,9
"17428",325,1268,8
"17434",325,1437,9
"17438",325,1498,9
"17475",325,2006,6
"17491",325,2211,9
"17508",325,2488,10
"17513",325,2535,6
"17517",325,2701,8
"17524",325,2877,8
"17528",325,2915,7
"17551",325,3341,6
"17562",325,3488,9
"18919",354,393,8
"18929",354,455,4
"18938",354,502,5
"18955",354,609,4
"18960",354,645,10
"18965",354,678,7
"18969",354,697,10
"18975",354,752,7
"18988",354,844,9
"18997",354,985,11
"19002",354,1062,6
"19008",354,1104,7
"19015",354,1180,11
"19021",354,1268,6
"19027",354,1437,11
"19031",354,1498,9
"19068",354,2006,8
"19084",354,2211,7
"19101",354,2488,8
"19106",354,2535,6
"19110",354,2701,12
"19117",354,2877,8
"19121",354,2915,5
"19144",354,3341,8
"19155",354,3488,7
"20997",393,455,6
"21006",393,502,9
"21023",393,609,8
"21028",393,645,4
"21033",393,678,9
"21037",393,697,4
"21043",393,752,9
"21056",393,844,7
"21065",393,985,5
"21070",393,1062,8
"21076",393,1104,9
"21083",393,1180,7
"21089",393,1268,10
"21095",393,1437,7
"21099",393,1498,7
"21136",393,2006,8
"21152",393,2211,7
"21169",393,2488,6
"21174",393,2535,8
"21178",393,2701,6
"21185",393,2877,8
"21189",393,2915,9
"21212",393,3341,6
"21223",393,3488,7
"23501",455,502,5
"23518",455,609,6
"23523",455,645,6
"23528",455,678,7
"23532",455,697,10
"23538",455,752,9
"23551",455,844,9
"23560",455,985,9
"23565",455,1062,8
"23571",455,1104,9
"23578",455,1180,9
"23584",455,1268,6
"23590",455,1437,7
"23594",455,1498,9
"23631",455,2006,6
"23647",455,2211,7
"23664",455,2488,10
"23669",455,2535,4
