"","G1","G2","G3","G4"
"1",74,75,151,93
"2",104,173,180,121
"3",162,196,222,152
"4",237,312,325,181
"5",346,377,354,226
"6",365,420,393,341
"7",413,442,455,361
"8",437,598,502,427
"9",467,696,609,456
"10",525,781,645,514
"11",596,911,678,579
"12",720,1044,697,613
"13",881,1085,752,679
"14",1077,1175,844,809
"15",1127,1419,985,862
"16",1203,1799,1062,1028
"17",1368,1896,1104,1112
"18",1486,1986,1180,1465
"19",1555,2118,1268,1704
"20",1730,2196,1437,1947
"21",1797,2295,1498,2230
"22",2107,2381,2006,2413
"23",2340,2452,2211,2585
"24",2418,2682,2488,2827
"25",2512,2857,2535,2880
"26",2607,3261,2701,2919
"27",2897,3388,2877,3085
"28",2954,3486,2915,3375
"29",3380,3626,3341,3524
"30",3443,3994,3488,3757
