"","X1","X14","X4"
"3865",68,118,5
"3869",68,137,7
"3873",68,173,7
"3895",68,289,7
"3899",68,304,9
"3903",68,325,4
"3911",68,365,6
"3916",68,392,7
"3921",68,420,6
"3925",68,437,8
"3938",68,512,7
"3946",68,559,8
"3950",68,596,4
"3954",68,613,7
"3962",68,666,11
"3966",68,696,9
"3975",68,765,8
"3987",68,862,7
"4007",68,1112,6
"4011",68,1150,7
"4015",68,1203,10
"4028",68,1492,4
"4040",68,1730,7
"4062",68,1966,10
"4072",68,2091,9
"4089",68,2327,6
"4097",68,2452,7
"4101",68,2511,8
"4121",68,2932,7
"4126",68,2992,10
"4135",68,3067,12
"4139",68,3261,8
"4144",68,3360,8
"4148",68,3415,8
"4152",68,3486,10
"4156",68,3570,10
"4160",68,3757,10
"4166",68,3908,4
"4170",68,4015,12
"6353",118,137,8
"6357",118,173,8
"6379",118,289,8
"6383",118,304,6
"6387",118,325,7
"6395",118,365,9
"6400",118,392,10
"6405",118,420,9
"6409",118,437,7
"6422",118,512,8
"6430",118,559,7
"6434",118,596,7
"6438",118,613,6
"6446",118,666,8
"6450",118,696,8
"6459",118,765,9
"6471",118,862,6
"6491",118,1112,9
"6495",118,1150,4
"6499",118,1203,7
"6512",118,1492,7
"6524",118,1730,8
"6546",118,1966,11
"6556",118,2091,8
"6573",118,2327,7
"6581",118,2452,8
"6585",118,2511,9
"6605",118,2932,6
"6610",118,2992,9
"6619",118,3067,11
"6623",118,3261,9
"6628",118,3360,9
"6632",118,3415,9
"6636",118,3486,11
"6640",118,3570,9
"6644",118,3757,13
"6650",118,3908,9
"6654",118,4015,11
"7575",137,173,4
"7597",137,289,6
"7601",137,304,8
"7605",137,325,7
"7613",137,365,9
"7618",137,392,4
"7623",137,420,9
"7627",137,437,7
"7640",137,512,6
"7648",137,559,7
"7652",137,596,11
"7656",137,613,8
"7664",137,666,6
"7668",137,696,6
"7677",137,765,9
"7689",137,862,10
"7709",137,1112,9
"7713",137,1150,10
"7717",137,1203,7
"7730",137,1492,9
"7742",137,1730,8
"7764",137,1966,11
"7774",137,2091,6
"7791",137,2327,9
"7799",137,2452,8
"7803",137,2511,7
"7823",137,2932,12
"7828",137,2992,9
"7837",137,3067,11
"7841",137,3261,7
"7846",137,3360,9
"7850",137,3415,13
"7854",137,3486,11
"7858",137,3570,13
"7862",137,3757,9
"7868",137,3908,11
"7872",137,4015,9
"8799",173,289,6
"8803",173,304,8
"8807",173,325,9
"8815",173,365,5
"8820",173,392,6
"8825",173,420,5
"8829",173,437,7
"8842",173,512,8
"8850",173,559,7
"8854",173,596,9
"8858",173,613,6
"8866",173,666,8
"8870",173,696,6
"8879",173,765,5
"8891",173,862,8
"8911",173,1112,9
"8915",173,1150,8
"8919",173,1203,9
"8932",173,1492,9
"8944",173,1730,8
"8966",173,1966,7
"8976",173,2091,6
"8993",173,2327,9
"9001",173,2452,6
"9005",173,2511,7
"9025",173,2932,10
"9030",173,2992,11
"9039",173,3067,9
"9043",173,3261,5
"9048",173,3360,11
"9052",173,3415,11
"9056",173,3486,9
"9060",173,3570,11
"9064",173,3757,5
"9070",173,3908,11
"9074",173,4015,7
"15128",289,304,4
"15132",289,325,5
"15140",289,365,5
"15145",289,392,4
"15150",289,420,5
"15154",289,437,5
"15167",289,512,6
"15175",289,559,7
"15179",289,596,9
"15183",289,613,6
"15191",289,666,10
"15195",289,696,6
"15204",289,765,9
"15216",289,862,10
"15236",289,1112,9
"15240",289,1150,8
"15244",289,1203,7
"15257",289,1492,9
"15269",289,1730,10
"15291",289,1966,9
"15301",289,2091,4
"15318",289,2327,7
"15326",289,2452,8
"15330",289,2511,11
"15350",289,2932,6
"15355",289,2992,7
"15364",289,3067,9
"15368",289,3261,9
"15373",289,3360,5
"15377",289,3415,9
"15381",289,3486,11
"15385",289,3570,9
"15389",289,3757,9
"15395",289,3908,9
"15399",289,4015,11
"16230",304,325,7
"16238",304,365,7
"16243",304,392,6
"16248",304,420,5
"16252",304,437,5
"16265",304,512,4
"16273",304,559,9
"16277",304,596,7
"16281",304,613,6
"16289",304,666,6
"16293",304,696,6
"16302",304,765,9
"16314",304,862,8
"16334",304,1112,7
"16338",304,1150,8
"16342",304,1203,7
"16355",304,1492,9
"16367",304,1730,10
"16389",304,1966,9
"16399",304,2091,8
"16416",304,2327,9
"16424",304,2452,6
"16428",304,2511,11
"16448",304,2932,6
"16453",304,2992,5
"16462",304,3067,9
"16466",304,3261,11
"16471",304,3360,5
"16475",304,3415,9
"16479",304,3486,9
"16483",304,3570,7
"16487",304,3757,11
"16493",304,3908,11
"16497",304,4015,11
"17320",325,365,4
"17325",325,392,7
"17330",325,420,6
"17334",325,437,4
"17347",325,512,7
"17355",325,559,6
"17359",325,596,6
"17363",325,613,5
"17371",325,666,11
"17375",325,696,11
"17384",325,765,8
"17396",325,862,9
"17416",325,1112,8
"17420",325,1150,9
"17424",325,1203,8
"17437",325,1492,6
"17449",325,1730,11
"17471",325,1966,10
"17481",325,2091,9
"17498",325,2327,6
"17506",325,2452,9
"17510",325,2511,6
"17530",325,2932,7
"17535",325,2992,8
"17544",325,3067,10
"17548",325,3261,10
"17553",325,3360,6
"17557",325,3415,6
"17561",325,3486,10
"17565",325,3570,10
"17569",325,3757,10
"17575",325,3908,6
"17579",325,4015,10
"19441",365,392,7
"19446",365,420,4
