"","G1","G2","G3","G4"
"1",68,31,52,59
"2",118,46,74,75
"3",137,69,103,104
"4",173,180,209,135
"5",289,222,226,211
"6",304,270,274,237
"7",325,311,312,324
"8",365,330,331,341
"9",392,347,354,361
"10",420,393,427,377
"11",437,542,455,413
"12",512,598,476,436
"13",559,651,502,456
"14",596,697,544,510
"15",613,792,574,579
"16",666,813,601,609
"17",696,875,634,637
"18",765,1062,661,664
"19",862,1085,707,681
"20",1112,1227,770,720
"21",1150,1368,881,802
"22",1203,1498,1028,844
"23",1492,1585,1180,910
"24",1730,1744,1243,1074
"25",1966,1947,1465,1104
"26",2091,1986,1543,1403
"27",2327,2056,1704,1620
"28",2452,2158,1759,1718
"29",2511,2281,1797,1799
"30",2932,2332,1846,1903
"31",2992,2460,1896,2006
"32",3067,2607,2118,2072
"33",3261,2835,2340,2192
"34",3360,2908,2413,2242
"35",3415,2945,2488,2355
"36",3486,3375,2523,2856
"37",3570,3488,2915,2880
"38",3757,3581,2954,3163
"39",3908,3783,3134,3358
"40",4015,3926,3832,3388
