"","X1","X14","X4"
"3865",68,118,5
"3869",68,137,7
"3873",68,173,7
"3895",68,289,7
"3899",68,304,9
"3903",68,325,4
"3911",68,365,6
"3916",68,392,7
"3921",68,420,6
"3925",68,437,8
"3938",68,512,7
"3959",68,651,9
"3963",68,678,9
"3967",68,697,10
"3971",68,735,8
"3980",68,792,6
"3992",68,923,11
"4000",68,1062,6
"4004",68,1085,8
"4008",68,1119,9
"4012",68,1175,8
"4017",68,1227,8
"4021",68,1368,7
"4033",68,1585,9
"4037",68,1694,9
"4041",68,1744,7
"4046",68,1797,9
"4055",68,1896,8
"4078",68,2160,6
"4087",68,2295,8
"4099",68,2488,8
"4103",68,2523,8
"4107",68,2682,9
"4124",68,2954,10
"4137",68,3134,9
"4142",68,3341,8
"4154",68,3524,6
"4158",68,3626,10
"4163",68,3832,10
"6353",118,137,8
"6357",118,173,8
"6379",118,289,8
"6383",118,304,6
"6387",118,325,7
"6395",118,365,9
"6400",118,392,10
"6405",118,420,9
"6409",118,437,7
"6422",118,512,8
"6443",118,651,10
"6447",118,678,6
"6451",118,697,9
"6455",118,735,7
"6464",118,792,9
"6476",118,923,10
"6484",118,1062,5
"6488",118,1085,9
"6492",118,1119,6
"6496",118,1175,9
"6501",118,1227,11
"6505",118,1368,8
"6517",118,1585,8
"6521",118,1694,8
"6525",118,1744,6
"6530",118,1797,10
"6539",118,1896,11
"6562",118,2160,5
"6571",118,2295,7
"6583",118,2488,9
"6587",118,2523,9
"6591",118,2682,4
"6608",118,2954,11
"6621",118,3134,6
"6626",118,3341,13
"6638",118,3524,11
"6642",118,3626,9
"6647",118,3832,11
"7575",137,173,4
"7597",137,289,6
"7601",137,304,8
"7605",137,325,7
"7613",137,365,9
"7618",137,392,4
"7623",137,420,9
"7627",137,437,7
"7640",137,512,6
"7661",137,651,4
"7665",137,678,8
"7669",137,697,5
"7673",137,735,7
"7682",137,792,7
"7694",137,923,6
"7702",137,1062,9
"7706",137,1085,9
"7710",137,1119,8
"7714",137,1175,9
"7719",137,1227,7
"7723",137,1368,8
"7735",137,1585,8
"7739",137,1694,8
"7743",137,1744,6
"7748",137,1797,8
"7757",137,1896,11
"7780",137,2160,9
"7789",137,2295,11
"7801",137,2488,7
"7805",137,2523,7
"7809",137,2682,8
"7826",137,2954,7
"7839",137,3134,10
"7844",137,3341,9
"7856",137,3524,11
"7860",137,3626,9
"7865",137,3832,11
"8799",173,289,6
"8803",173,304,8
"8807",173,325,9
"8815",173,365,5
"8820",173,392,6
"8825",173,420,5
"8829",173,437,7
"8842",173,512,8
"8863",173,651,6
"8867",173,678,6
"8871",173,697,7
"8875",173,735,9
"8884",173,792,9
"8896",173,923,6
"8904",173,1062,9
"8908",173,1085,5
"8912",173,1119,8
"8916",173,1175,7
"8921",173,1227,7
"8925",173,1368,8
"8937",173,1585,6
"8941",173,1694,6
"8945",173,1744,10
"8950",173,1797,8
"8959",173,1896,9
"8982",173,2160,11
"8991",173,2295,7
"9003",173,2488,7
"9007",173,2523,9
"9011",173,2682,10
"9028",173,2954,11
"9041",173,3134,6
"9046",173,3341,7
"9058",173,3524,9
"9062",173,3626,11
"9067",173,3832,9
"15128",289,304,4
"15132",289,325,5
"15140",289,365,5
"15145",289,392,4
"15150",289,420,5
"15154",289,437,5
"15167",289,512,6
"15188",289,651,6
"15192",289,678,8
"15196",289,697,7
"15200",289,735,11
"15209",289,792,7
"15221",289,923,8
"15229",289,1062,7
"15233",289,1085,7
"15237",289,1119,10
"15241",289,1175,9
"15246",289,1227,9
"15250",289,1368,8
"15262",289,1585,6
"15266",289,1694,12
"15270",289,1744,10
"15275",289,1797,6
"15284",289,1896,7
"15307",289,2160,7
"15316",289,2295,9
"15328",289,2488,7
"15332",289,2523,9
"15336",289,2682,10
"15353",289,2954,9
"15366",289,3134,10
"15371",289,3341,7
"15383",289,3524,9
"15387",289,3626,9
"15392",289,3832,11
"16230",304,325,7
"16238",304,365,7
"16243",304,392,6
"16248",304,420,5
"16252",304,437,5
"16265",304,512,4
"16286",304,651,10
"16290",304,678,6
"16294",304,697,7
"16298",304,735,11
"16307",304,792,7
"16319",304,923,8
"16327",304,1062,7
"16331",304,1085,7
"16335",304,1119,8
"16339",304,1175,9
"16344",304,1227,11
"16348",304,1368,6
"16360",304,1585,6
"16364",304,1694,10
"16368",304,1744,8
"16373",304,1797,6
"16382",304,1896,7
"16405",304,2160,5
"16414",304,2295,9
"16426",304,2488,7
"16430",304,2523,11
"16434",304,2682,8
"16451",304,2954,9
"16464",304,3134,8
"16469",304,3341,9
"16481",304,3524,9
"16485",304,3626,9
"16490",304,3832,9
"17320",325,365,4
"17325",325,392,7
"17330",325,420,6
"17334",325,437,4
"17347",325,512,7
"17368",325,651,9
"17372",325,678,9
"17376",325,697,8
"17380",325,735,6
"17389",325,792,8
"17401",325,923,11
"17409",325,1062,6
"17413",325,1085,8
"17417",325,1119,7
"17421",325,1175,8
"17426",325,1227,8
"17430",325,1368,9
"17442",325,1585,11
"17446",325,1694,13
"17450",325,1744,9
"17455",325,1797,5
"17464",325,1896,8
"17487",325,2160,6
"17496",325,2295,8
"17508",325,2488,10
"17512",325,2523,8
"17516",325,2682,11
"17533",325,2954,8
"17546",325,3134,13
"17551",325,3341,6
"17563",325,3524,6
"17567",325,3626,10
"17572",325,3832,12
"19441",365,392,7
