"","X1","X14","X4"
"3228",52,74,8
"3232",52,103,4
"3240",52,152,4
"3248",52,209,7
"3252",52,226,7
"3261",52,274,6
"3270",52,312,5
"3274",52,331,10
"3278",52,354,7
"3292",52,427,9
"3296",52,455,9
"3300",52,476,9
"3305",52,502,6
"3313",52,544,7
"3317",52,574,5
"3321",52,601,8
"3325",52,634,9
"3329",52,661,6
"3337",52,707,10
"3346",52,770,6
"3358",52,881,7
"3366",52,1028,5
"3382",52,1180,6
"3388",52,1268,5
"3392",52,1403,9
"3396",52,1486,8
"3400",52,1555,8
"3404",52,1620,4
"3408",52,1718,6
"3421",52,1857,10
"3435",52,2006,11
"3444",52,2125,8
"3461",52,2355,7
"3477",52,2701,9
"3481",52,2856,8
"3485",52,2880,11
"3504",52,3067,11
"3508",52,3261,7
"3521",52,3486,9
"4490",74,103,6
"4498",74,152,6
"4506",74,209,7
"4510",74,226,5
"4519",74,274,6
"4528",74,312,9
"4532",74,331,4
"4536",74,354,7
"4550",74,427,9
"4554",74,455,9
"4558",74,476,7
"4563",74,502,8
"4571",74,544,7
"4575",74,574,9
"4579",74,601,6
"4583",74,634,5
"4587",74,661,10
"4595",74,707,6
"4604",74,770,6
"4616",74,881,9
"4624",74,1028,9
"4640",74,1180,8
"4646",74,1268,11
"4650",74,1403,7
"4654",74,1486,6
"4658",74,1555,6
"4662",74,1620,8
"4666",74,1718,8
"4679",74,1857,8
"4693",74,2006,9
"4702",74,2125,6
"4719",74,2355,9
"4735",74,2701,9
"4739",74,2856,8
"4743",74,2880,7
"4762",74,3067,11
"4766",74,3261,11
"4779",74,3486,11
"5740",103,152,8
"5748",103,209,7
"5752",103,226,5
"5761",103,274,8
"5770",103,312,9
"5774",103,331,6
"5778",103,354,5
"5792",103,427,7
"5796",103,455,5
"5800",103,476,11
"5805",103,502,6
"5813",103,544,9
"5817",103,574,7
"5821",103,601,8
"5825",103,634,9
"5829",103,661,8
"5837",103,707,6
"5846",103,770,6
"5858",103,881,7
"5866",103,1028,7
"5882",103,1180,10
"5888",103,1268,7
"5892",103,1403,7
"5896",103,1486,6
"5900",103,1555,8
"5904",103,1620,6
"5908",103,1718,8
"5921",103,1857,8
"5935",103,2006,11
"5944",103,2125,6
"5961",103,2355,7
"5977",103,2701,9
