"","Var1","Freq"
"6","3047",2654
"8","1911",2494
"32","3005",501
"49","3888",274
"77","391",157
"80","1",148
"86","2013",134
"87","409",130
"88","2939",130
"117","1982",88
"119","285",86
"120","750",86
"127","478",79
"128","1819",77
"175","3007",50
"176","3804",50
"206","4044",40
"215","3052",37
"219","3065",36
"250","3043",29
"260","1207",27
"261","1243",27
"285","4061",25
"288","3310",24
"298","2176",23
"310","3581",22
"315","272",21
"326","2024",20
"334","392",19
"341","3067",19
"350","3358",18
"363","2945",17
"371","493",16
"381","551",15
"393","14",14
"399","1870",14
"420","2994",13
"436","1021",12
"458","241",11
"460","529",11
"463","802",11
"484","68",10
"485","274",10
"498","2072",10
"521","331",9
"529","2932",9
"534","3271",9
"543","254",8
"544","289",8
"545","476",8
"562","2125",8
"566","2844",8
"590","69",7
"597","789",7
"603","1150",7
"636","3908",7
"647","495",6
"648","542",6
"651","735",6
"655","923",6
"662","1903",6
"665","1951",6
"697","287",5
"698","324",5
"705","951",5
"720","1653",5
"730","1955",5
"740","2460",5
"777","3832",5
"786","4015",5
"795","302",4
"800","463",4
"802","563",4
"804","651",4
"807","767",4
"836","1787",4
"837","1841",4
"849","2091",4
"891","3554",4
"922","259",3
"925","311",3
"926","330",3
"927","361",3
"929","374",3
"930","376",3
"931","393",3
"937","512",3
"940","559",3
"941","697",3
"950","910",3
"952","935",3
"962","1090",3
"985","1846",3
"988","1857",3
"989","1875",3
"991","1947",3
"993","1993",3
"997","2056",3
"1036","3085",3
"1050","3417",3
"1083","3994",3
"1090","18",2
"1092","31",2
"1094","59",2
"1100","103",2
"1101","137",2
"1112","270",2
"1133","510",2
"1136","544",2
"1146","637",2
"1156","770",2
"1160","792",2
"1183","1028",2
"1187","1119",2
"1189","1137",2
"1216","1585",2
"1232","1828",2
"1257","2192",2
"1270","2355",2
"1278","2452",2
"1286","2511",2
"1306","2856",2
"1307","2866",2
"1319","2984",2
"1321","2992",2
"1325","3029",2
"1365","3360",2
"1367","3375",2
"1368","3388",2
"1398","3746",2
"1406","3857",2
"1417","3926",2
"1420","3941",2
"1431","16",1
"1434","33",1
"1435","35",1
"1437","46",1
"1439","52",1
"1454","120",1
"1456","151",1
"1457","152",1
"1467","203",1
"1469","209",1
"1470","211",1
"1478","239",1
"1488","300",1
"1492","341",1
"1493","347",1
"1497","354",1
"1503","377",1
"1514","436",1
"1517","467",1
"1526","497",1
"1537","534",1
"1546","601",1
"1563","678",1
"1571","696",1
"1576","720",1
"1580","754",1
"1587","809",1
"1596","844",1
"1604","875",1
"1606","881",1
"1610","911",1
"1630","985",1
"1643","1065",1
"1651","1127",1
"1665","1185",1
"1668","1203",1
"1696","1368",1
"1705","1403",1
"1711","1437",1
"1717","1465",1
"1721","1486",1
"1739","1606",1
"1759","1694",1
"1769","1759",1
"1774","1797",1
"1800","1966",1
"1819","2107",1
"1822","2118",1
"1832","2160",1
"1858","2327",1
"1872","2381",1
"1894","2498",1
"1918","2682",1
"1924","2701",1
"1950","2857",1
"1954","2877",1
"1955","2880",1
"1959","2897",1
"1964","2908",1
"1967","2915",1
"1968","2919",1
"2002","3163",1
"2048","3443",1
"2054","3486",1
"2055","3488",1
"2068","3570",1
"2114","3783",1
