"","X1","X14","X4"
"1625",31,33,7
"1627",31,44,4
"1629",31,52,6
"1633",31,74,4
"1634",31,75,5
"1635",31,82,6
"1636",31,93,4
"1638",31,104,8
"1639",31,118,4
"1640",31,120,7
"1641",31,121,4
"1642",31,135,5
"1643",31,137,4
"1644",31,151,4
"1645",31,152,6
"1646",31,162,8
"1647",31,173,6
"1648",31,180,7
"1649",31,181,4
"1650",31,186,4
"1651",31,196,8
"1652",31,203,6
"1653",31,209,7
"1654",31,211,4
"1655",31,220,4
"1656",31,222,5
"1657",31,226,9
"1658",31,237,7
"1664",31,270,7
"1670",31,291,7
"1671",31,300,7
"1674",31,311,7
"1675",31,312,9
"1677",31,325,7
"1680",31,341,6
"1681",31,346,6
"1682",31,347,7
"1683",31,354,11
"1684",31,361,8
"1685",31,365,9
"1688",31,377,7
"1691",31,393,7
"1692",31,402,9
"1694",31,413,7
"1695",31,420,11
"1696",31,421,8
"1697",31,427,9
"1699",31,437,7
"1700",31,442,7
"1701",31,455,9
"1702",31,456,11
"1704",31,467,7
"1709",31,497,11
"1710",31,502,8
"1713",31,514,9
"1714",31,525,7
"1716",31,534,5
"1722",31,574,7
"1723",31,579,7
"1724",31,596,9
"1725",31,598,6
"1727",31,609,11
"1728",31,613,8
"1729",31,626,8
"1730",31,634,7
"1732",31,645,7
"1734",31,661,6
"1735",31,664,9
"1736",31,666,6
"1737",31,678,8
"1738",31,679,9
"1739",31,681,8
"1740",31,696,8
"1741",31,697,7
"1742",31,707,8
"1743",31,720,9
"1744",31,724,8
"1747",31,752,10
"1748",31,754,11
"1749",31,765,9
"1752",31,781,6
"1755",31,794,4
"1757",31,809,6
"1758",31,813,7
"1759",31,824,8
"1760",31,844,6
"1761",31,862,6
"1763",31,881,9
"1765",31,911,4
"1769",31,985,6
"1771",31,1028,9
"1772",31,1030,6
"1773",31,1044,6
"1774",31,1062,7
"1776",31,1074,9
"1777",31,1077,6
"1778",31,1085,7
"1780",31,1104,8
"1781",31,1112,9
"1783",31,1127,9
"1786",31,1175,7
"1787",31,1180,6
"1788",31,1185,11
"1789",31,1203,7
"1791",31,1227,9
"1793",31,1268,11
"1794",31,1274,8
"1795",31,1368,8
"1798",31,1419,7
"1799",31,1437,6
"1800",31,1465,6
"1801",31,1486,8
"1802",31,1492,9
"1803",31,1498,6
"1804",31,1543,6
"1805",31,1555,4
"1809",31,1620,8
"1811",31,1694,6
"1812",31,1704,10
"1814",31,1730,10
"1815",31,1744,8
"1816",31,1759,4
"1817",31,1763,8
"1820",31,1797,8
"1821",31,1799,9
"1823",31,1828,10
"1825",31,1846,8
"1828",31,1875,8
"1829",31,1896,13
"1832",31,1923,9
"1833",31,1947,9
"1836",31,1966,11
"1838",31,1986,13
"1840",31,2006,9
"1844",31,2069,5
"1847",31,2107,7
"1848",31,2118,7
"1850",31,2141,7
"1851",31,2158,9
"1854",31,2192,8
"1855",31,2196,9
"1856",31,2211,8
"1857",31,2230,7
"1858",31,2242,11
"1861",31,2295,9
"1863",31,2327,5
"1864",31,2332,4
"1865",31,2340,9
"1867",31,2381,7
"1868",31,2389,7
"1869",31,2413,8
"1870",31,2418,9
"1871",31,2452,8
"1873",31,2488,9
"1874",31,2498,10
"1876",31,2512,8
"1877",31,2523,7
"1878",31,2535,9
"1879",31,2585,4
"1880",31,2607,4
"1881",31,2682,6
"1882",31,2701,7
"1883",31,2827,9
"1884",31,2835,7
"1887",31,2857,9
"1889",31,2877,9
"1890",31,2880,11
"1891",31,2897,11
"1892",31,2908,8
"1893",31,2915,10
"1894",31,2919,11
"1898",31,2954,9
"1899",31,2984,13
"1904",31,3029,9
"1910",31,3085,6
"1911",31,3134,6
"1913",31,3261,7
"1916",31,3341,9
"1919",31,3375,7
"1920",31,3380,11
"1921",31,3388,8
"1922",31,3415,9
"1924",31,3435,11
"1925",31,3443,9
"1926",31,3486,9
"1927",31,3488,12
"1928",31,3524,13
"1930",31,3570,13
"1932",31,3626,9
"1933",31,3746,13
"1934",31,3757,11
"1942",31,3941,11
"1943",31,3994,9
"1948",33,44,5
"1950",33,52,5
"1954",33,74,7
"1955",33,75,4
"1956",33,82,7
"1957",33,93,7
"1959",33,104,5
"1960",33,118,7
"1961",33,120,4
"1962",33,121,5
"1963",33,135,4
"1964",33,137,5
"1965",33,151,7
"1966",33,152,7
"1967",33,162,5
"1968",33,173,5
"1969",33,180,4
"1970",33,181,5
"1971",33,186,7
"1972",33,196,7
"1973",33,203,7
"1974",33,209,4
"1975",33,211,7
"1976",33,220,9
"1977",33,222,8
"1978",33,226,4
"1979",33,237,4
"1985",33,270,8
"1991",33,291,4
"1992",33,300,6
"1995",33,311,6
"1996",33,312,6
"1998",33,325,6
"2001",33,341,9
"2002",33,346,11
"2003",33,347,8
"2004",33,354,6
