frame,X,Y,cat
0,2402.75,1125.75,0
1,2401.25,1121.0,0
3,2399.5,1120.25,0
4,2399.25,1120.25,0
5,2399.25,1119.25,0
6,2083.25,882.25,1
7,2402.75,1118.75,0
9,2083.25,882.0,1
13,2421.0,1141.5,0
27,2333.0,1225.0,0
41,2082.25,882.75,0
47,2341.0,1229.75,0
73,2345.75,1250.0,0
96,2349.25,1251.0,0
97,2382.75,1301.75,0
99,2373.5,1321.0,0
102,2378.5,1331.5,0
103,2378.0,1337.75,0
104,2377.5,1341.5,0
107,2375.5,1362.0,0
112,2343.75,1389.25,0
114,2344.0,1393.75,0
119,2310.75,1408.0,0
120,2311.25,1410.0,0
122,2313.0,1413.25,0
124,2350.0,1263.5,0
126,2091.5,877.25,1
129,2350.25,1265.0,0
134,2276.5,1446.75,0
152,2351.75,1256.25,0
153,2260.25,1465.5,0
155,2268.75,1471.0,0
156,2272.25,1474.25,0
159,2278.75,1466.5,0
161,2283.5,1463.25,0
163,2654.0,1292.0,0
165,2285.0,1459.25,0
166,2289.0,1459.0,0
169,2286.75,1461.0,0
173,2280.25,1458.25,0
175,2275.25,1458.75,0
176,2273.25,1459.5,0
177,2273.0,1459.5,0
178,2272.5,1463.25,0
179,2094.75,885.25,1
180,2271.5,1462.5,0
182,2260.5,1464.0,0
185,2267.0,1462.75,0
188,2276.75,1460.25,0
190,2276.75,1457.75,0
192,2269.5,1458.0,0
194,2349.5,1262.5,0
197,2278.5,1440.75,0
200,2282.0,1433.75,0
202,2312.5,1435.5,0
203,2317.0,1426.25,0
204,2320.0,1413.75,0
206,2331.75,1408.75,0
208,2343.5,1388.0,0
211,2350.0,1269.75,0
213,2092.75,884.75,1
226,2411.5,1329.5,1
227,2409.5,1329.75,1
228,2409.0,1330.25,1
229,2407.0,1332.0,1
230,2404.5,1330.75,1
231,2404.75,1329.0,1
232,2405.75,1327.0,1
233,2407.5,1328.75,1
234,2407.5,1330.5,1
235,2406.25,1327.5,1
237,2407.25,1322.75,1
238,2354.75,1278.25,0
239,2410.25,1319.5,1
240,2353.5,1276.75,0
241,2412.25,1322.0,1
242,2414.25,1315.25,1
243,2420.0,1310.25,1
244,2425.0,1306.5,1
245,2430.75,1304.5,1
246,2438.25,1304.25,1
247,2439.75,1308.5,1
249,2448.5,1305.5,1
255,2093.0,883.0,1
265,2493.0,1320.0,0
277,2485.0,1318.0,0
280,2501.75,1310.0,0
282,2506.0,1315.0,0
283,2506.0,1317.5,0
284,2505.0,1315.5,0
288,2349.0,1278.75,0
309,2567.75,1333.0,0
312,2561.0,1333.0,0
314,2336.5,1296.75,0
315,2337.5,1296.5,0
322,2090.25,884.0,1
330,2318.0,1287.5,0
332,2323.0,1285.75,0
334,2325.75,1275.0,0
360,2559.25,1311.0,0
361,2559.25,1318.75,0
363,2561.25,1329.25,0
365,2316.25,1279.75,0
366,2561.75,1338.5,0
367,2563.0,1339.75,0
368,2087.0,887.5,1
369,2562.5,1344.75,0
370,2562.5,1347.75,0
371,2321.0,1290.75,0
372,2563.0,1353.5,0
373,2563.5,1355.25,0
374,2561.75,1357.0,0
375,2570.5,1359.75,0
377,2567.0,1368.0,0
378,2564.25,1366.75,0
379,2558.0,1365.5,0
380,2319.5,1290.0,0
382,2555.5,1354.0,0
383,2555.25,1350.5,0
384,2560.25,1353.5,0
385,2559.75,1360.75,0
386,2100.0,876.5,1
387,2103.25,873.75,1
388,2563.0,1369.5,0
389,2560.25,1371.25,0
390,2558.75,1371.75,0
391,2556.25,1373.0,0
397,2577.25,1351.25,0
414,2324.75,1309.5,0
416,2112.5,877.0,1
418,3037.0,1429.25,0
439,2579.25,1365.5,0
441,2319.25,1313.75,0
459,2096.5,875.0,0
462,2105.25,886.0,0
484,2581.25,1365.5,0
485,2581.25,1365.0,0
487,2580.25,1365.25,0
491,2582.75,1365.5,0
492,2581.75,1364.75,0
502,2582.75,1366.5,0
503,2584.0,1365.75,0
504,2583.25,1365.5,0
505,2583.75,1365.5,0
506,2584.25,1365.5,0
507,2584.0,1365.5,0
508,2584.5,1366.25,0
510,2585.0,1367.0,0
511,2585.75,1366.5,0
516,2335.5,1298.0,0
518,2587.25,1366.5,0
519,2587.0,1366.75,0
520,2327.0,1305.0,0
521,2326.5,1306.5,0
523,2586.5,1367.75,0
524,2584.5,1369.75,0
525,2326.75,1306.5,0
529,2590.5,1365.25,0
532,2589.25,1365.5,0
533,2589.25,1366.5,0
536,2589.75,1370.25,0
537,2354.0,1261.5,0
539,2589.25,1372.0,0
540,2589.25,1372.0,0
541,2589.5,1371.75,0
542,2589.25,1371.5,0
543,2590.25,1372.0,0
545,2592.25,1370.0,0
547,2595.25,1369.5,0
548,2593.25,1370.0,0
549,2595.25,1369.0,0
550,2596.25,1368.5,0
551,2597.5,1366.75,0
552,2596.25,1368.0,0
553,2595.5,1366.75,0
555,2600.5,1365.0,0
556,2597.0,1366.0,0
557,2597.75,1366.25,0
558,2600.0,1365.75,0
559,2600.25,1363.5,0
560,2600.0,1363.0,0
561,2603.0,1361.0,0
562,2603.25,1361.0,0
563,2351.75,1231.0,0
564,2608.25,1362.5,0
567,2605.75,1367.75,0
568,2603.75,1370.75,0
569,2609.0,1362.5,0
571,2605.25,1353.75,0
572,2605.5,1347.75,0
573,2609.75,1346.0,0
574,2613.25,1346.5,0
575,2613.75,1347.0,0
576,2615.25,1344.25,0
577,2612.5,1343.25,0
578,2613.5,1342.75,0
580,2613.5,1343.5,0
582,2615.75,1343.5,0
583,2617.75,1341.5,0
586,2623.75,1337.25,0
588,2630.0,1330.5,0
589,2629.5,1330.25,0
592,2634.0,1342.75,0
597,2642.75,1357.25,0
598,2641.75,1357.5,0
600,2656.5,1355.25,0
602,2654.25,1354.5,0
607,2649.25,1349.25,0
612,2642.5,1347.5,0
617,2649.25,1352.75,0
618,2651.75,1350.0,0
619,2653.0,1350.75,0
621,2651.25,1346.25,0
623,2652.75,1345.75,0
624,2653.5,1346.75,0
627,2655.5,1347.75,0
632,2668.25,1348.0,0
634,2670.5,1349.75,0
635,2677.75,1353.25,0
636,2681.5,1358.0,0
637,2684.75,1361.0,0
638,2688.75,1363.75,0
640,2686.0,1362.75,0
641,2682.75,1364.25,0
643,2674.5,1368.5,0
646,2671.5,1359.25,0
647,2671.75,1362.0,0
654,2648.75,1333.0,0
656,2646.0,1335.5,0
657,2649.5,1338.0,0
659,2056.0,1147.0,1
663,2645.5,1334.5,0
668,2614.0,1350.5,0
671,2623.0,1368.75,0
672,2632.5,1375.5,0
673,2639.0,1378.75,0
674,2638.5,1382.25,0
675,2640.5,1382.5,0
676,2639.25,1381.25,0
677,2630.75,1376.25,0
678,2630.75,1376.25,0
679,2628.25,1376.0,0
680,2627.75,1376.0,0
681,2626.25,1375.5,0
682,2625.25,1370.25,0
683,2622.5,1359.0,0
684,2626.0,1347.5,0
685,2625.25,1350.0,0
686,2627.5,1347.25,0
687,2624.75,1349.75,0
688,2623.0,1351.5,0
689,2623.75,1350.5,0
690,2624.5,1348.5,0
691,2625.5,1346.75,0
692,2626.75,1347.25,0
693,2628.25,1346.75,0
695,2631.25,1347.75,0
696,2635.0,1348.25,0
697,2632.5,1346.75,0
698,2632.75,1348.0,0
700,2630.75,1347.75,0
701,2630.75,1352.25,0
702,2634.75,1353.0,0
703,2636.25,1352.5,0
704,2642.5,1351.75,0
705,2641.5,1349.75,0
706,2643.0,1349.0,0
707,2640.5,1346.25,0
708,2642.25,1351.5,0
709,2642.5,1352.5,0
710,2641.75,1349.5,0
712,2643.0,1346.25,0
713,2644.75,1348.25,0
714,2642.5,1347.0,0
715,2642.75,1343.75,0
718,2643.0,1338.75,0
719,2643.5,1337.75,0
721,2644.0,1338.75,0
722,2646.0,1337.25,0
723,2646.0,1337.75,0
724,2646.25,1337.75,0
725,2645.75,1335.25,0
726,2646.25,1336.0,0
727,2645.5,1333.25,0
728,2647.25,1334.5,0
729,2648.0,1335.75,0
730,2653.0,1340.25,0
731,2653.5,1340.25,0
732,2653.25,1338.25,0
733,2654.0,1338.5,0
735,2652.75,1336.75,0
736,2655.0,1337.25,0
741,2654.0,1335.75,0
742,2651.5,1333.75,0
746,2649.0,1332.25,0
747,2650.25,1331.5,0
749,2653.0,1334.25,0
750,2649.0,1332.0,0
751,2650.0,1333.25,0
