frame,ID,centroidX,centroidY,dir,1cm
0,437,597,2054,-23.629377730656817,63.333333333333336
0,304,1539,1882,169.38034472384487,96.66666666666667
0,420,871,1816,180.0,106.66666666666667
0,613,582,1799,-156.03751102542182,20.0
0,862,1186,1654,-90.0,63.333333333333336
0,512,1645,1578,0.0,106.66666666666667
0,365,1069,1552,7.125016348901798,50.0
0,118,1197,1482,14.743562836470735,143.33333333333334
0,392,1371,1333,108.43494882292202,86.66666666666667
0,173,883,1258,32.7352262721076,86.66666666666667
0,596,1600,1255,-165.25643716352928,93.33333333333334
0,696,1497,1231,-57.52880770915151,56.66666666666667
0,765,2685,1186,7.666804261814177,136.66666666666669
0,137,1832,1119,-86.63353933657021,86.66666666666667
0,68,528,1064,83.29016319224307,73.33333333333334
0,666,2262,980,9.462322208025617,43.333333333333336
0,289,1077,952,-84.28940686250037,130.0
0,559,2246,824,168.6900675259798,50.0
0,325,2431,259,174.8055710922652,20.0
1,392,594,2048,90.0,60.0
1,765,2425,1966,-14.743562836470735,136.66666666666669
1,420,1539,1882,-4.085616779974877,96.66666666666667
1,289,848,1816,0.0,106.66666666666667
1,437,581,1801,-164.47588900324575,66.66666666666667
1,1492,1187,1656,-90.0,60.0
1,118,1494,1657,-161.565051177078,40.0
1,666,1637,1574,0.0,100.0
1,365,1176,1485,3.576334374997351,110.0
1,559,1900,1446,81.86989764584403,26.666666666666668
1,1112,1388,1321,-29.74488129694222,93.33333333333334
1,696,1599,1256,-175.91438322002512,53.333333333333336
1,325,892,1248,-153.434948822922,93.33333333333334
1,173,1830,1114,81.86989764584403,90.0
1,862,2210,1053,35.53767779197438,23.333333333333336
1,137,526,1055,18.43494882292201,76.66666666666667
1,1150,2262,979,-176.18592516570965,43.333333333333336
1,68,1077,957,-166.6075022462489,136.66666666666669
1,304,1084,963,-173.29016319224309,76.66666666666667
1,613,1758,745,84.8055710922652,50.0
1,512,2323,600,90.0,50.0
1,596,2379,517,-176.18592516570965,86.66666666666667
1,1203,2315,201,84.28940686250037,56.66666666666667
2,173,593,2044,-19.65382405805331,73.33333333333334
2,420,2122,1977,-2.7263109939062655,40.0
2,1112,2427,1964,-3.1798301198642345,103.33333333333334
2,696,3292,1971,94.39870535499554,76.66666666666667
2,137,1538,1883,-7.594643368591445,96.66666666666667
2,1730,849,1814,176.63353933657018,110.0
2,437,583,1799,171.46923439005187,60.0
2,1492,2142,1767,0.0,76.66666666666667
2,304,1195,1657,-153.434948822922,26.666666666666668
2,118,1502,1641,-173.29016319224309,63.333333333333336
2,765,1633,1567,-86.42366562500266,100.0
2,2091,1068,1551,8.13010235415598,50.0
2,559,1902,1452,140.19442890773482,43.333333333333336
2,613,1394,1314,150.25511870305778,80.0
2,325,910,1228,-70.5599651718238,90.0
2,365,1520,1205,48.81407483429036,20.0
2,1203,2685,1183,6.34019174590991,146.66666666666669
