frame,ID,centroidX,centroidY,dir,1cm,test,7
0,1585,2387.75,1492.75,32.9052429229879,103.33333333333334,3,1
0,69,2824.5,1426.0,136.33221985386965,96.66666666666667,5,0
0,2945,2931.75,1366.75,156.31791227546157,86.66666666666667,6,1
0,875,2067.5,1312.25,52.79207807821844,103.33333333333334,7,1
0,2056,2480.25,1284.75,-148.09189306434686,96.66666666666667,8,1
0,651,2478.75,745.0,-54.78240703180729,80.0,17,1
1,69,2825.25,1426.25,135.0,90.0,6,0
1,875,2077.5,1315.0,58.172553423326896,106.66666666666667,8,1
1,2056,2479.75,1287.75,-149.67639313745002,100.0,9,1
1,651,2477.5,747.0,-46.27303002005671,80.0,18,1
2,3488,2929.75,1503.0,-113.96248897457819,86.66666666666667,2,1
2,1585,2395.25,1492.5,45.67403689798451,96.66666666666667,3,1
2,69,2826.5,1425.25,135.6740368979845,96.66666666666667,5,1
2,875,2093.5,1315.5,62.65012421993013,106.66666666666667,8,0
2,651,2476.5,747.25,-48.01278750418334,83.33333333333334,16,1
3,3488,2930.5,1504.25,-110.35322914806883,80.0,0,1
3,1585,2396.5,1492.5,42.397437797500196,100.0,1,1
3,69,2828.25,1421.25,132.4551956201869,103.33333333333334,3,1
3,875,2097.25,1313.75,62.28149837181664,103.33333333333334,6,0
3,651,2474.5,749.0,-51.34019174590991,83.33333333333334,12,1
4,3488,2930.0,1509.5,-119.5387822595581,80.0,0,1
4,1585,2401.75,1496.5,39.351752626264734,103.33333333333334,2,1
4,69,2828.25,1419.5,134.32596310201552,106.66666666666667,4,0
4,875,2105.25,1315.25,63.82471001824007,103.33333333333334,6,0
4,2056,2486.0,1289.75,-150.68999292908387,106.66666666666667,7,0
4,2945,2475.75,752.75,-52.59464336859145,80.0,14,1
5,3488,2924.75,1513.75,-116.17528998175993,80.0,0,1
5,1585,2407.0,1501.75,45.65854317756361,93.33333333333334,2,1
5,69,2827.75,1420.5,132.82525588538996,90.0,4,1
5,875,2112.25,1317.0,59.80837703904239,106.66666666666667,6,0
5,2056,2491.0,1289.75,-155.3441012559184,103.33333333333334,7,0
6,2056,2916.75,1518.5,65.48035731180924,83.33333333333334,0,1
6,1585,2412.25,1498.75,42.662694140876184,90.0,1,1
6,1062,1513.75,1495.0,-116.98023071822286,103.33333333333334,2,0
6,69,2827.75,1420.25,133.56790381583536,100.0,4,1
6,875,2112.75,1316.0,60.68999292908387,106.66666666666667,7,0
6,2056,2498.5,1286.0,-157.89055165624833,110.0,8,0
6,651,2472.0,748.25,-59.48976259388444,80.0,14,1
7,1585,2413.0,1502.0,42.510447078000844,103.33333333333334,1,1
7,69,2828.25,1421.25,135.0,96.66666666666667,3,0
7,875,2111.75,1315.0,57.724355685422374,113.33333333333334,6,0
7,2056,2503.25,1289.5,-154.93253656193951,103.33333333333334,7,0
7,651,2468.25,748.75,-53.65254179111473,80.0,13,1
8,1062,1484.5,1492.5,-104.53445508054013,90.0,2,0
8,2945,2934.75,1365.25,78.69006752597979,83.33333333333334,5,1
8,875,2115.5,1313.25,60.36161631184866,113.33333333333334,6,0
8,2056,2505.5,1295.25,-153.04782106877104,96.66666666666667,7,1
9,1585,2416.5,1513.0,54.24611274556325,100.0,1,1
9,69,2825.25,1424.0,132.9299693469589,96.66666666666667,4,1
9,875,2122.5,1313.0,56.309932474020215,103.33333333333334,6,0
9,270,3069.0,1062.0,140.9061411137705,36.66666666666667,10,1
9,651,2469.75,753.0,-51.89242312248514,96.66666666666667,13,1
10,1062,1461.0,1484.5,-104.03624346792648,96.66666666666667,2,0
10,69,2824.25,1426.5,131.4677054161091,96.66666666666667,5,0
10,2945,2934.75,1365.25,-25.34617594194669,83.33333333333334,6,1
10,875,2122.5,1309.75,60.1409838350769,103.33333333333334,7,0
10,2056,2513.75,1282.0,-160.23283132320836,103.33333333333334,8,0
10,651,2469.25,755.0,-58.877529803208006,100.0,14,1
11,1062,1450.75,1479.5,-106.96614810853619,100.0,2,1
11,69,2824.25,1426.0,132.9299693469589,100.0,5,0
11,2945,2934.5,1365.75,80.53767779197439,83.33333333333334,6,1
11,875,2131.0,1311.75,57.9946167919165,106.66666666666667,7,0
11,2056,2521.0,1277.5,-148.17255342332692,96.66666666666667,8,1
11,651,2469.75,756.0,-59.80837703904239,96.66666666666667,15,1
12,1062,1430.0,1485.25,-102.90740867126584,93.33333333333334,2,0
12,875,2135.75,1310.25,59.93141717813756,106.66666666666667,6,0
12,651,2464.0,759.0,-52.43140797117251,93.33333333333334,11,1
13,69,2824.5,1426.25,130.29214775562778,96.66666666666667,4,0
13,2945,2936.0,1365.75,74.6237487511738,80.0,5,1
13,875,2142.5,1304.5,57.804266065286754,103.33333333333334,6,1
13,651,2461.75,757.5,-53.3102771675242,100.0,14,1
14,1585,2433.75,1517.25,52.94347181059042,96.66666666666667,0,1
14,2945,2935.25,1365.5,71.96571443287014,83.33333333333334,4,1
14,875,2150.75,1303.5,54.36019080191333,103.33333333333334,5,0
15,2945,2435.25,1516.25,140.31454566994475,96.66666666666667,1,1
15,69,2824.5,1423.75,131.71075732150817,103.33333333333334,3,0
15,2945,2935.75,1365.5,-29.859016164923098,83.33333333333334,4,1
15,875,2158.25,1304.5,58.27639704231597,103.33333333333334,5,0
15,2056,2542.75,1263.5,-163.94001269283936,103.33333333333334,7,0
15,2158,3059.25,1064.25,87.87890360333854,90.0,11,1
