,frame,ID,centroidX,centroidY,dir,1cm,test,7
0,0,2242.0,2386.75,1516.75,-123.92979742206064,100.0,29,0
1,0,1903.0,2636.25,1466.5,58.27639704231597,110.0,32,0
2,0,802.0,2569.5,1303.25,114.7024302277713,83.33333333333334,38,1
3,0,3358.0,2839.0,1278.25,74.18080605249986,100.0,40,0
4,0,104.0,2335.75,1203.75,-40.51539399045539,53.33333333333334,42,1
8,0,844.0,2086.5,1081.5,58.495733280795825,113.33333333333334,51,0
9,0,2856.0,2083.75,882.25,-111.29735404903376,106.66666666666669,63,0
10,0,59.0,2051.25,647.5,109.44003482817621,76.66666666666667,69,1
12,1,2242.0,2385.5,1516.25,-123.91743053697034,100.0,25,0
13,1,1903.0,2641.0,1461.0,64.98310652189997,110.0,29,0
15,1,802.0,2569.5,1306.5,117.47443162627712,86.66666666666669,34,1
16,1,3358.0,2839.75,1277.25,76.89079180184571,90.0,37,0
18,1,844.0,2085.75,1080.5,58.07912378006682,113.33333333333334,48,0
21,1,2856.0,2083.25,881.75,-113.68208772453846,100.0,60,1
23,2,2242.0,2386.25,1517.0,-122.27564431457762,100.0,24,0
24,2,1903.0,2638.5,1461.0,59.85861444792465,113.33333333333334,28,0
25,2,3358.0,2840.25,1278.5,75.77403610124821,96.66666666666669,36,0
26,2,104.0,2337.25,1209.75,-39.28940686250036,76.66666666666667,40,0
27,2,2856.0,2403.5,1117.5,-137.38594403038886,90.0,43,1
29,2,844.0,2085.75,1082.25,56.093723011557856,113.33333333333334,47,0
30,2,2856.0,2083.5,882.0,-112.47943439710312,103.33333333333334,59,1
31,3,2242.0,2386.25,1517.0,-122.27564431457762,100.0,27,0
32,3,1903.0,2640.75,1455.5,63.81188930251915,113.33333333333334,31,0
33,3,3358.0,2840.25,1277.5,75.77403610124821,96.66666666666669,40,0
34,3,104.0,2338.5,1208.25,28.2173558547293,76.66666666666667,42,1
37,3,844.0,2085.75,1081.5,58.07912378006682,116.66666666666669,51,0
38,3,2856.0,2083.0,882.5,-116.565051177078,110.0,64,0
40,4,2242.0,2385.25,1516.5,-121.9208762199332,96.66666666666669,24,1
41,4,1903.0,2643.25,1452.0,61.52579638992565,113.33333333333334,28,0
43,4,3358.0,2838.0,1278.75,76.80938928779317,93.33333333333334,38,0
44,4,104.0,2340.0,1209.5,27.5528115767178,80.0,39,0
46,4,3358.0,2839.5,1278.25,77.06194368281355,93.33333333333334,46,0
47,4,844.0,2088.0,1081.5,57.652556500557964,120.0,48,0
48,4,2856.0,2083.5,882.25,-111.63088683651793,103.33333333333334,57,0
49,4,59.0,2051.25,608.5,74.05460409907715,80.0,66,1
50,5,2242.0,2385.0,1517.0,-122.7352262721076,103.33333333333334,22,0
51,5,1903.0,2641.5,1446.0,61.11341823308929,106.66666666666669,28,0
53,5,3358.0,2840.0,1277.25,79.76519723657678,86.66666666666669,39,0
54,5,104.0,2341.5,1212.25,-43.191260677507934,80.0,43,0
57,5,844.0,2089.5,1081.5,58.495733280795825,120.0,52,0
58,5,2856.0,2083.25,882.0,-111.47679097954041,106.66666666666669,66,1
59,5,59.0,2056.75,600.75,72.69947280805498,90.0,79,0
60,6,2242.0,2385.75,1518.5,-118.6104596659652,103.33333333333334,25,0
61,6,1903.0,2651.75,1434.75,58.448615051686524,106.66666666666669,29,0
62,6,3358.0,2840.75,1277.25,79.90249561592472,86.66666666666669,40,0
63,6,104.0,2340.5,1212.0,36.86989764584403,83.33333333333334,42,1
64,6,3358.0,2840.25,1277.5,78.8453402610717,93.33333333333334,48,1
65,6,324.0,2400.75,1118.5,-138.96465472285612,90.0,49,1
66,6,844.0,2090.5,1082.25,59.17233770013197,113.33333333333334,50,0
67,6,2856.0,2083.25,882.25,-113.87528085392752,106.66666666666669,62,1
68,6,59.0,2062.25,595.0,72.38742215707617,86.66666666666669,72,0
70,7,2242.0,2385.5,1517.5,-122.19573393471323,100.0,29,0
71,7,802.0,2552.5,1317.75,137.17474411461006,83.33333333333334,37,0
72,7,3358.0,2845.25,1276.0,77.30041551040264,90.0,40,1
74,7,844.0,2089.25,1081.0,58.6097318958122,116.66666666666669,54,0
75,7,2856.0,2083.75,882.0,-112.13549187810035,106.66666666666669,67,1
76,7,59.0,2060.25,585.75,77.38067770656923,106.66666666666669,77,1
78,8,2242.0,2385.25,1517.5,-125.63980919808668,103.33333333333334,25,0
