frame,ID,centroidX,centroidY,dir,1cm,test,7
0,1903,2141.0,2018.75,160.6651914621736,86.66666666666667,0,0
0,59,989.5,2013.5,101.30993247402021,96.66666666666667,1,0
0,792,1246.75,1880.25,-74.53878225955809,80.0,2,1
0,312,3292.25,1305.75,63.853158764419106,86.66666666666667,6,0
0,2945,1207.25,1293.5,-100.68491240000272,86.66666666666667,7,1
0,1104,3272.5,1253.75,-18.121860247901356,90.0,8,1
0,1112,1101.0,1190.25,-169.21570213243743,103.33333333333334,9,0
0,707,735.0,804.5,-130.8150838748816,90.0,12,1
0,3163,821.5,763.0,-161.02959219151347,110.0,13,0
0,2056,1237.25,657.0,-63.838433557980764,100.0,15,0
0,637,975.75,631.5,33.424811182603804,90.0,16,1
0,304,1029.5,298.0,-56.309932474020215,83.33333333333334,20,0
0,311,1229.25,928.25,-168.34070734647702,106.66666666666667,22,1
1,1903,2123.0,2027.0,168.6900675259798,96.66666666666667,0,0
1,792,1775.0,1735.5,46.2188752351313,86.66666666666667,3,1
1,312,3291.5,1301.0,62.59242456218159,83.33333333333334,6,0
1,2945,1207.5,1294.0,-99.09027692082232,83.33333333333334,7,1
1,1112,1101.75,1192.0,-163.90918365114786,100.0,9,1
1,707,736.5,804.5,-132.13759477388825,90.0,10,1
1,312,821.25,762.5,-72.31560797344225,103.33333333333334,11,1
1,2056,1230.5,658.25,-144.1178627537958,100.0,13,1
1,2945,909.25,417.0,63.019769281777144,96.66666666666667,17,1
1,544,1030.0,292.25,-44.11859600341786,70.0,18,1
2,1903,2121.25,2025.25,169.43898930880363,93.33333333333334,1,0
2,792,1806.0,1736.25,36.304497122575235,100.0,3,1
2,274,1289.75,1442.5,-10.738897100905442,86.66666666666667,6,1
2,312,3292.25,1298.0,63.019769281777144,86.66666666666667,7,0
2,1112,1101.5,1190.75,-167.07400087529405,106.66666666666667,10,1
2,707,737.5,803.75,-130.97173633351485,90.0,13,0
2,304,1227.0,659.5,121.26373169437744,93.33333333333334,15,1
2,137,897.75,420.5,150.36161631184868,93.33333333333334,20,1
2,311,1237.75,933.5,-170.53767779197437,110.0,23,1
2,304,1034.0,287.25,-47.81555668421123,73.33333333333334,25,0
3,59,1011.75,2024.5,104.79676224505735,86.66666666666667,0,1
3,1903,2124.25,2026.75,166.18497465873838,100.0,1,0
3,2945,1207.0,1293.75,-99.8193006387579,86.66666666666667,10,1
3,1112,1101.5,1190.0,-167.6609127216738,106.66666666666667,12,1
3,707,736.5,804.75,-131.37851529588266,90.0,15,0
3,137,889.25,430.0,154.25929164376717,100.0,22,1
3,311,1235.5,943.25,-167.47119229084848,93.33333333333334,25,0
3,304,1035.75,277.75,-38.480198248343015,76.66666666666667,27,1
4,792,1813.25,1730.5,10.06068979532297,106.66666666666667,4,1
4,274,1288.25,1441.25,-17.783888442692525,80.0,6,1
4,2945,1207.5,1294.0,-98.42696902148067,86.66666666666667,9,1
4,1112,1101.5,1191.25,-166.65127288671263,106.66666666666667,10,0
4,413,2345.5,1179.25,-68.74949449286676,76.66666666666667,11,0
4,707,737.25,804.5,-135.76389846093,96.66666666666667,13,1
5,59,1021.5,2034.25,106.69924423399362,80.0,0,1
5,1903,2145.0,2019.0,160.3461759419467,90.0,1,0
5,544,1292.75,1912.75,110.69545073406329,86.66666666666667,2,0
5,392,3296.5,1299.0,-115.76932762433871,93.33333333333334,6,1
5,2945,1207.75,1293.75,-100.00797980144135,86.66666666666667,7,1
5,325,3318.75,1104.5,170.53767779197437,90.0,11,0
5,707,736.0,805.25,-131.18592516570965,86.66666666666667,13,0
5,137,875.0,438.0,161.565051177078,96.66666666666667,18,1
5,311,1243.25,954.5,-174.28940686250036,103.33333333333334,21,0
5,304,3306.5,200.5,-27.474431626277134,90.0,24,1
6,1903,2132.0,2012.0,153.434948822922,93.33333333333334,0,0
6,392,1294.75,1920.0,41.18592516570965,56.66666666666667,1,1
6,792,1800.0,1728.5,-17.87869659584134,106.66666666666667,2,1
6,274,1287.25,1423.0,-16.886791123944043,86.66666666666667,4,1
6,1112,1101.25,1192.25,-168.34070734647702,106.66666666666667,8,0
6,393,2226.0,1042.0,60.94539590092286,56.66666666666667,11,1
6,707,736.25,804.0,-134.29268063145577,90.0,12,0
6,637,1052.0,640.0,50.19442890773481,110.0,15,0
6,137,868.75,442.75,163.393019421383,100.0,17,1
6,304,1038.5,253.0,-33.02386755579665,76.66666666666667,21,1
7,1903,2126.75,2010.0,150.85192815428695,93.33333333333334,0,0
7,792,1792.25,1727.75,-21.644435140713995,100.0,1,1
7,274,1291.0,1424.5,-15.42216131873867,83.33333333333334,3,1
7,2945,1206.75,1293.75,-100.00797980144135,90.0,5,1
7,413,2346.25,1180.5,-65.48035731180924,73.33333333333334,8,0
7,1543,3317.5,1093.25,78.85711014166068,90.0,9,1
7,707,735.25,804.0,-125.41705527646745,96.66666666666667,11,0
7,3163,818.75,727.25,-156.80140948635182,100.0,12,1
7,393,867.75,448.75,161.00334584451144,96.66666666666667,16,1
