,frame,ID,centroidX,centroidY,dir,1cm,test,7
0,0,402.0,2214.5,1570.0,21.44773632710535,113.33333333333334,10,0
1,0,596.0,3274.5,1060.0,-34.15969454566943,93.33333333333334,44,0
5,0,645.0,1867.5,809.5,162.75854060106002,90.0,59,0
10,0,681.0,2806.0,450.25,24.65589874408161,103.33333333333334,82,1
12,1,402.0,2218.5,1579.25,21.801409486351808,113.33333333333334,8,0
13,1,596.0,3270.5,1053.0,-41.49646835521554,80.0,40,1
17,1,645.0,1866.75,810.0,161.83404347077445,113.33333333333334,59,0
20,1,681.0,2812.75,447.5,21.96056402009647,110.0,82,0
21,2,596.0,3268.75,1052.5,-43.22853025996592,90.0,34,0
24,2,645.0,1865.5,814.75,165.37912601136836,110.0,51,0
27,2,681.0,2818.0,444.75,25.38790629109593,103.33333333333334,74,0
29,3,402.0,2220.25,1607.0,27.323891301346542,113.33333333333334,9,0
30,3,596.0,3265.0,1054.0,-38.15722658736906,90.0,37,0
32,3,645.0,1865.0,818.25,165.7499673021964,106.66666666666669,55,0
36,3,151.0,3194.0,431.25,-72.8380811971347,66.66666666666667,79,1
37,3,681.0,2817.5,442.5,25.70995378081127,96.66666666666669,80,0
38,3,421.0,2912.25,219.5,-77.84505830277777,96.66666666666669,93,1
40,4,402.0,2220.75,1606.0,24.37646861667477,110.0,6,0
42,4,596.0,3266.0,1054.0,-42.709389957361466,83.33333333333334,33,1
45,4,645.0,1862.25,818.0,166.80938928779315,106.66666666666669,46,0
49,4,681.0,2815.25,441.25,20.658910063307488,103.33333333333334,72,0
50,4,421.0,2913.25,218.5,-77.07400087529405,103.33333333333334,83,0
51,5,402.0,2221.0,1612.25,21.476790979540386,106.66666666666669,2,0
54,5,596.0,3259.0,1052.75,-43.264295411071615,93.33333333333334,31,0
57,5,645.0,1856.75,816.25,159.53772847657783,96.66666666666669,45,0
61,5,681.0,2815.5,435.75,18.12186024790136,93.33333333333334,70,1
62,5,421.0,2912.25,214.0,-79.54009090707088,96.66666666666669,79,1
63,6,402.0,2214.75,1608.75,22.963773059854557,110.0,3,1
